,code_id,period_id,timestamp,end_timestamp,code,Half,Opponent,00. Start Phase,01. Phase,02. Situation Type,04. Rating,03. Outcomes,D1 CP / Att. Bal. NEUTRAL,<flag>New Flag,Time Period,D2 Recovery GOOD,D1 CP / Att. Bal. GOOD,D1 CP / Att. Bal. BAD,D2 Recovery BAD
0,1,1,0.0,2884.9840886816273,KO,1st Half,Brøndby,,,,,,,,,,,,
1,2,1,2.8867939605299853,28.884016509197863,O4 Finishing,1st Half,Brøndby,O4 Finishing,Transition,Cutback,Unsuccessful,Intercepted by Defence,True,True,0 - 15 min,,,,
2,3,1,3.0424205788596055,20.779181357864672,D3 Middle / Lower Pressing,1st Half,Brøndby,,,D3 Goal Kick or Free Kick,Successful,Direct to O3/O4 OFF Transit,,,0 - 15 min,,,,
3,4,1,8.146102329147197,51.48665555555556,Bench,,Brøndby,,,,,,,True,,,,,
4,5,1,40.00672939418985,73.88920019018462,D3 Middle / Lower Pressing,1st Half,Brøndby,,,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",,,0 - 15 min,,,,
5,6,1,55.542298936524844,80.42344129618641,O3 Break Through,1st Half,Brøndby,O3 Break Through,Transition,D3 Win Ball Low/Middle,Unsuccessful,Ball Loss --> D3 Press,,,0 - 15 min,,,,
6,7,1,74.84915555555555,104.84915555555555,Bench,,Brøndby,,,,,,,True,,,,,
7,8,1,82.03590579386525,96.93939500187025,D3 Middle / Lower Pressing,1st Half,Brøndby,,,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",,,0 - 15 min,True,,,
8,9,1,98.69624750550724,104.68501511621423,O2 Build Up,1st Half,Brøndby,O2 Build Up,,O2 After Regain,Unsuccessful,Ball Loss --> D3 Press,,,0 - 15 min,,,,
9,10,1,109.50228496785792,120.67750129953549,D3 Middle / Lower Pressing,1st Half,Brøndby,,,After Ball Loss,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",,,0 - 15 min,,,,
10,11,1,117.076814102792,158.0258724254598,Goal FCN,1st Half,Brøndby,,,Established Play,,,,True,,,,,
11,12,1,118.43625048085107,149.80455236035203,O3 Break Through,1st Half,Brøndby,O3 Break Through,Established Play,Wide Link Up Play,Successful,Lead to O4 chance,,True,0 - 15 min,,,,
12,13,1,124.43201516885301,132.6604733845288,O1 Play from the Back,1st Half,Brøndby,O1 Play from the Back,,O1 Goal Kick or Free Kick,Successful,Progress to Next Phase,,,0 - 15 min,,,,
13,14,1,132.18599690084,155.22736409850506,O4 Finishing,1st Half,Brøndby,O4 Finishing,Established Play,Square Pass,Successful,Open Chance,,True,0 - 15 min,,,,
14,15,1,209.78367258484866,226.22703648985305,D3 Middle / Lower Pressing,1st Half,Brøndby,,,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",,,0 - 15 min,,,,
15,16,1,228.75010330418763,245.85924849685273,O1 Play from the Back,1st Half,Brøndby,O1 Play from the Back,,O1 After Regain,Successful,Progress to Next Phase,,,0 - 15 min,,,,
16,17,1,242.805638451856,282.03539381318853,O3 Break Through,1st Half,Brøndby,O3 Break Through,Throw In,Quick Restart,Unsuccessful,Ball Loss --> D3 Press,,,0 - 15 min,,True,,
17,18,1,277.6948701815239,301.44885084952364,O3 Break Through,1st Half,Brøndby,O3 Break Through,Established Play,Early Through Pass or Cross,Unsuccessful,Ball Loss --> D3 Press,,,0 - 15 min,,,,
18,19,1,282.4598,304.19975620700046,O4 Finishing,,Brøndby,O4 Finishing,Established Play,Chipball,Unsuccessful,Intercepted by Defence,,True,0 - 15 min,,,,
19,20,1,286.80525195918483,296.87277932153177,O2 Build Up,1st Half,Brøndby,O2 Build Up,,O2 After Regain,Successful,Progress to Next Phase,,,0 - 15 min,,,,
20,21,1,292.44796726651987,320.0042326945244,O3 Break Through,1st Half,Brøndby,O3 Break Through,Transition,D3 Win Ball Low/Middle,Unsuccessful,Ball Loss --> D3 Press,,,0 - 15 min,,,True,
21,22,1,304.3959054081897,311.4490788098676,D3 Middle / Lower Pressing,1st Half,Brøndby,,,After Ball Loss,Successful,Direct to O3/O4 OFF Transit,,,0 - 15 min,,,,
22,23,1,313.39329852018864,340.23959033817675,D4 Defending the Box,1st Half,Brøndby,,Transition,Square Pass,Unsuccessful,Chance,,,0 - 15 min,,,,
23,24,1,343.075027697849,361.35411019021205,O1 Play from the Back,1st Half,Brøndby,O1 Play from the Back,,O1 Goal Kick or Free Kick,Successful,Progress to Next Phase,,,0 - 15 min,,,,
24,25,1,362.18558856352445,392.76745819785833,O2 Build Up,1st Half,Brøndby,O2 Build Up,,O1 to O2,Successful,Progress to Next Phase,,,0 - 15 min,,,,
25,26,1,373.53471132853656,427.4186907088533,O3 Break Through,1st Half,Brøndby,O3 Break Through,Established Play,Central Play Infront of Backline,Unsuccessful,Ball Loss --> D3 Press,,True,0 - 15 min,True,,,
