,code_id,period_id,timestamp,end_timestamp,code,01. Phase,02. Situation Type,04. Rating,03. Outcomes,Time Period,Opponent,00. Start Phase,<flag>New Flag
0,1,1,0.0,19.39987405499605,D4 Defending the Box,Established Play,Chipball,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Lyngby,,
1,2,1,0.39842248599472985,12.69750680499508,D3 Middle / Lower Pressing,,D3 Goal Kick or Free Kick,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Lyngby,,
2,3,1,8.998278679997917,32.49909372200058,D4 Defending the Box,Established Play,Square Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Lyngby,,
3,4,1,33.30037291599526,51.39827351399518,D4 Defending the Box,Established Play,Square Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Lyngby,,
4,5,1,36.20018980499382,48.09857845699072,D3 Middle / Lower Pressing,,,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Lyngby,,
5,6,1,38.9134,58.69951695799366,D4 Defending the Box,Established Play,Chipball,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Lyngby,,
6,7,1,69.69962445799884,94.99914204099487,D4 Defending the Box,Corner Kick,Back Area,Successful,Intercepted by Defence,0 - 15 min,Lyngby,,
7,8,1,83.75148,94.75148,def corner,,,,,,Lyngby,,
8,9,1,89.56018888888889,113.59980530599617,O3 Break Through,Transition,After D4 Def. Box,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,Lyngby,O3 Break Through,
9,10,1,97.39951554199038,108.09875745800241,O1 Play from the Back,,O1 After Regain,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,Lyngby,O1 Play from the Back,
10,11,1,113.09916126399564,136.29989326199797,D3 Middle / Lower Pressing,,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,Lyngby,,True
