,code_id,period_id,timestamp,end_timestamp,code,02. Situation Type,03. Outcomes,04. Rating,Time Period,Opponent,Half,00. Start Phase,01. Phase,<flag>New Flag
0,1,1,0.0,14.79981695899536,D1 Counterpress,After O2 build-up,Establishing Pressing,Neutral,0 - 15 min,Viborg,,,,
1,2,1,0.0,15.397979401998674,D2 Finding Balance,Transition After CP,Establishing Pressing,Neutral,0 - 15 min,Viborg,,,,
2,3,1,0.0,2709.1977521300514,KO,,,,,Viborg,1st Half,,,
3,4,1,1.2984460979991759,12.897650357997431,O2 Build Up,O2 Free Kick,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,Viborg,,O2 Build Up,,
4,5,1,22.286398444324504,33.914444331708864,D3 Middle / Lower Pressing,D3 Press on Throw-In,,,0 - 15 min,Viborg,1st Half,,,
5,6,1,25.089874851000758,52.99747963499554,D4 Defending the Box,Chipball,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Viborg,,,Established Play,True
6,7,1,39.09185324973146,47.35204769870302,D1 Counterpress,After O2 build-up,"Cross, Shot, Set-Piece or Box Entry",Unsuccessful,0 - 15 min,Viborg,1st Half,,,
7,8,1,56.115163314195115,61.330237314036594,D3 High Pressing,D3 From Low/Med to High,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,Viborg,1st Half,,,
8,9,1,65.26776400963058,91.59697014563949,O2 Build Up,O2 After Regain,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,Viborg,1st Half,O2 Build Up,,True
9,10,1,81.79671329875487,106.94239367827026,O3 Break Through,Transition After CP,"Cross, Shot, Set-Piece or Box Entry",Successful,0 - 15 min,Viborg,1st Half,O3 Break Through,Transition,
10,11,1,88.25085584988096,112.15629093377333,O4 Finishing,Square Pass,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Viborg,1st Half,O4 Finishing,Transition,True
11,12,1,89.87747724015983,100.91151960801615,D1 Counterpress,After O2 build-up,Direct to O3/O4 OFF Transit,Successful,0 - 15 min,Viborg,1st Half,,,
12,13,1,113.29860338591493,126.8469657715957,O2 Build Up,O2 Throw-In,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,Viborg,1st Half,O2 Build Up,,
13,14,1,126.66788587549883,132.98135484990667,D1 Counterpress,After O2 build-up,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,Viborg,1st Half,,,
14,15,1,144.07820553901615,172.54209953142686,O2 Build Up,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,Viborg,1st Half,O2 Build Up,,True
15,16,1,175.30543825752352,199.61172720877198,D3 High Pressing,D3 Press on Throw-In,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,Viborg,1st Half,,,
16,17,1,201.1222969156213,228.73241760851738,O2 Build Up,O2 After Regain,Progress to Next Phase,Successful,0 - 15 min,Viborg,1st Half,O2 Build Up,,True
17,18,1,209.53257757684946,234.6911180585564,O3 Break Through,,"Cross, Shot, Set-Piece or Box Entry",Successful,0 - 15 min,Viborg,1st Half,O3 Break Through,Established Play,True
18,19,1,216.3768169244829,241.48828192224641,O4 Finishing,Square Pass,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Viborg,1st Half,O4 Finishing,Established Play,True
19,20,1,243.21345961004386,284.1186971417326,D3 High Pressing,After Ball Loss,Stay In Phase,Neutral,0 - 15 min,Viborg,1st Half,,,
20,21,1,285.08487946479886,305.9791160902412,D3 Middle / Lower Pressing,D3 From High to Med/Low,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,Viborg,1st Half,,,True
21,22,1,310.5643,325.19227134599583,O1 Play from the Back,O1 Throw-In,Ball Loss --> D4 Defend The Box,Unsuccessful,0 - 15 min,Viborg,,O1 Play from the Back,,
22,23,1,311.1190396178788,335.71232095617484,D4 Defending the Box,1v1,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Viborg,1st Half,,Transition,
23,24,1,337.47778815204197,379.4857156460937,O1 Play from the Back,O1 Goal Kick or Free Kick,Progress to Next Phase,Successful,0 - 15 min,Viborg,1st Half,O1 Play from the Back,,True
24,25,1,364.36571394611104,383.58324655632873,O2 Build Up,O1 to O2,Progress to Next Phase,Successful,0 - 15 min,Viborg,1st Half,O2 Build Up,,
25,26,1,364.48593827120453,390.7478667606181,O3 Break Through,1v1 Wide / Halfspace,Keep The Ball,Neutral,0 - 15 min,Viborg,1st Half,O3 Break Through,Established Play,True
26,27,1,371.53092818510027,399.026421359649,O3 Break Through,Quick Restart,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,Viborg,1st Half,O3 Break Through,Throw In,
27,28,1,381.5755,401.5755,Ndividucal,,,,,Viborg,,,,True
28,29,1,405.7749883496051,426.8221800963564,D3 High Pressing,After Ball Loss,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,Viborg,1st Half,,,True
29,30,1,425.79978902800127,452.6991154019966,O3 Break Through,Early Through Pass or Cross,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,Viborg,,O3 Break Through,Established Play,
30,31,1,427.2558991960202,450.23740238697405,O2 Build Up,O2 Throw-In,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,Viborg,1st Half,O2 Build Up,,
31,32,1,442.286108057001,465.09878167699173,D1 Counterpress,After O2 build-up,Establishing Pressing,Neutral,0 - 15 min,Viborg,,,,
32,33,1,444.1964524019991,463.6973224029981,D2 Finding Balance,Transition After CP,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,Viborg,,,,
33,34,1,461.1321232209255,483.9762240757949,O1 Play from the Back,O1 After Regain,Progress to Next Phase,Successful,0 - 15 min,Viborg,1st Half,O1 Play from the Back,,True
34,35,1,488.50808189647586,508.22024024428333,O2 Build Up,O2 Free Kick,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,Viborg,1st Half,O2 Build Up,,True
35,36,1,508.5075424853801,513.1880002118749,D1 Counterpress,After O2 build-up,Establishing Pressing,Neutral,0 - 15 min,Viborg,1st Half,,,True
36,37,1,516.166827540658,530.7763520023387,D3 Middle / Lower Pressing,D3 Goal Kick or Free Kick,Stay In Phase,Neutral,0 - 15 min,Viborg,1st Half,,,True
37,38,1,521.4711204082139,532.2381715911204,D3 High Pressing,D3 From Low/Med to High,Stay In Phase,Neutral,0 - 15 min,Viborg,1st Half,,,
38,39,1,533.6842265358771,540.0777925203345,D2 Finding Balance,D3 High Press on Opp. Half,Establishing Pressing,Neutral,0 - 15 min,Viborg,1st Half,,,
39,40,1,538.6411835980878,564.1687081226353,D4 Defending the Box,Through Pass,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Viborg,1st Half,,Transition,True
40,41,1,544.198902448177,555.622687365372,D3 Middle / Lower Pressing,After Ball Loss,"Cross, Shot, Set-Piece or Box Entry",Unsuccessful,0 - 15 min,Viborg,1st Half,,,
41,42,1,547.779309205627,594.3779004828764,D4 Defending the Box,Front Area,Intercepted by Defence,Successful,0 - 15 min,Viborg,1st Half,,Corner Kick,
42,43,1,570.7322888888889,593.097069976997,O3 Break Through,After D4 Def. Box,Ball Loss --> D4 Defend The Box,Unsuccessful,0 - 15 min,Viborg,,O3 Break Through,Transition,
43,44,1,577.0225812232836,603.7713678578409,D4 Defending the Box,Cutback,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Viborg,1st Half,,Transition,
44,45,1,579.7862180273003,641.2686349128362,def corner,Front Area,,,,Viborg,1st Half,,,
45,46,1,585.083291219593,628.3963,Bench,,,,,Viborg,,,,True
46,47,1,586.8950972748596,626.8332531326548,D4 Defending the Box,1v1,Open Chance,Unsuccessful,0 - 15 min,Viborg,1st Half,,Established Play,True
47,48,1,607.2515555555556,627.2515555555556,Ndividucal,,,,,Viborg,,,,True
48,49,1,623.7579444444444,643.7579444444444,Ndividual,,,,,Viborg,,,,True
49,50,1,635.5809816689541,658.8355454841583,O1 Play from the Back,O1 Goal Kick or Free Kick,Progress to Next Phase,Successful,0 - 15 min,Viborg,1st Half,O1 Play from the Back,,
50,51,1,644.8106340364172,669.6435273572458,O3 Break Through,Early Through Pass or Cross,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,Viborg,1st Half,O3 Break Through,Established Play,True
51,52,1,645.6845333333333,666.6947265889958,O4 Finishing,Through Pass,Intercepted by Defence,Unsuccessful,0 - 15 min,Viborg,,O4 Finishing,Established Play,
52,53,1,659.5630029692072,662.8147387282031,O2 Build Up,O1 to O2,Progress to Next Phase,Successful,0 - 15 min,Viborg,1st Half,O2 Build Up,,
53,54,1,671.4869466176782,702.7721397495756,D3 High Pressing,D3 Goal Kick or Free Kick,Direct to O3/O4 OFF Transit,Successful,0 - 15 min,Viborg,1st Half,,,True
54,55,1,677.275945867126,703.5946273813995,O3 Break Through,D3 High Press on Opp. Half,"Cross, Shot, Set-Piece or Box Entry",Successful,0 - 15 min,Viborg,1st Half,O3 Break Through,Transition,
55,56,1,686.8297579167945,711.4068440593235,O4 Finishing,Quick Restart,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Viborg,1st Half,O4 Finishing,Throw In,
56,57,1,712.6765001548181,736.3643605402328,D3 High Pressing,After Ball Loss,Stay In Phase,Neutral,0 - 15 min,Viborg,1st Half,,,True
57,58,1,720.5991905949985,746.7964401079965,D4 Defending the Box,Through Pass,Intercepted by Defence,Successful,0 - 15 min,Viborg,,,Established Play,
58,59,1,737.4750209244637,743.9817722307341,D2 Finding Balance,D3 High Press on Opp. Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,Viborg,1st Half,,,
59,60,1,746.8980711298589,756.2831735096331,O1 Play from the Back,O1 After Regain,Progress to Next Phase,Successful,0 - 15 min,Viborg,1st Half,O1 Play from the Back,,True
60,61,1,757.1460678482706,767.7725629054992,O2 Build Up,O1 to O2,Stay In Phase,Neutral,0 - 15 min,Viborg,1st Half,O2 Build Up,,
61,62,1,773.722992073074,793.8186832877534,O2 Build Up,O2 Throw-In,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,Viborg,1st Half,O2 Build Up,,
62,63,1,779.690817190003,799.690817190003,Ndividucal,,,,,Viborg,,,,True
63,64,1,795.4089308527516,797.9968539057243,D1 Counterpress,After O2 build-up,Establishing Pressing,Neutral,0 - 15 min,Viborg,1st Half,,,
64,65,1,800.496273406995,826.3987472469978,O4 Finishing,Through Pass,Intercepted by Defence,Unsuccessful,0 - 15 min,Viborg,,O4 Finishing,Transition,
65,66,1,801.2315660041002,820.6657937872976,D3 Middle / Lower Pressing,After Ball Loss,Direct to O3/O4 OFF Transit,Successful,0 - 15 min,Viborg,1st Half,,,
66,67,1,801.9202627946186,823.902982011324,O3 Break Through,D3 Win Ball Low/Middle,Keep The Ball,Neutral,0 - 15 min,Viborg,1st Half,O3 Break Through,Transition,
67,68,1,833.489423361875,839.2860957617966,O3 Break Through,Short Throw-In,Keep The Ball,Neutral,0 - 15 min,Viborg,1st Half,O3 Break Through,Throw In,
68,69,1,840.9792533455873,866.9729187207756,O2 Build Up,O3 to O2,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,Viborg,1st Half,O2 Build Up,,True
69,70,1,853.3636444444444,873.3636444444444,Ndividucal,,,,,Viborg,,,,True
70,71,1,882.4135932570772,896.3604124699801,D3 High Pressing,D3 Press on Throw-In,Stay In Phase,Neutral,0 - 15 min,Viborg,1st Half,,,True
71,72,1,892.9808333333333,914.5121,D4 Defending the Box,Through Pass,Intercepted by Defence,Successful,0 - 15 min,Viborg,,,Established Play,
72,73,1,894.291344106701,911.4391650846937,D2 Finding Balance,D3 High Press on Opp. Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,Viborg,1st Half,,,True
73,74,1,918.7981321559934,945.4992690030017,D3 High Pressing,After Ball Loss,Stay In Phase,Neutral,16 - 30 min,Viborg,,,,True
