,code_id,period_id,timestamp,end_timestamp,code,Half,Opponent,00. Start Phase,02. Situation Type,03. Outcomes,04. Rating,Time Period,01. Phase,<flag>New Flag
0,1,1,0.0,2869.1432608964956,KO,2nd Half,AaB,,,,,,,
1,2,1,0.0020823685542730166,14.748164215248284,O2 Build Up,1st Half,AaB,O2 Build Up,O2 Free Kick,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,,
2,3,1,18.94186932691493,51.60970822224819,D3 High Pressing,1st Half,AaB,,D3 Press on Throw-In,"Cross, Shot, Set-Piece or Box Entry",Unsuccessful,0 - 15 min,,
3,4,1,33.55042389524831,59.707743981914994,D4 Defending the Box,1st Half,AaB,,Square Pass,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Established Play,
4,5,1,63.71999288758163,87.86521871258165,D4 Defending the Box,1st Half,AaB,,Square Pass,Intercepted by Defence,Successful,0 - 15 min,Transition,
5,6,1,64.18724628891472,80.32563759791493,O1 Play from the Back,1st Half,AaB,O1 Play from the Back,O1 Goal Kick or Free Kick,Ball Loss --> D4 Defend The Box,Unsuccessful,0 - 15 min,,
6,7,1,75.31733406691468,107.89894133458166,O3 Break Through,1st Half,AaB,O3 Break Through,Central Play Infront of Backline,"Cross, Shot, Set-Piece or Box Entry",Successful,0 - 15 min,Established Play,
7,8,1,79.10155607413317,108.59601111111112,Bench,,AaB,,,,,0 - 15 min,,True
8,9,1,80.64162222222222,87.29910947099914,O1 Play from the Back,,AaB,O1 Play from the Back,O1 After Regain,Progress to Next Phase,Successful,0 - 15 min,,
9,10,1,88.6645114705815,114.29615120524831,O4 Finishing,1st Half,AaB,O4 Finishing,Pass Infront of Backline,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Established Play,
10,11,1,116.69939015658157,135.32404499058157,D3 High Pressing,1st Half,AaB,,D3 Goal Kick or Free Kick,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,,
11,12,1,139.1383713395816,185.57185024658136,O2 Build Up,1st Half,AaB,O2 Build Up,O2 After Regain,Progress to Next Phase,Successful,0 - 15 min,,
12,13,1,166.7226615239148,190.9947024372481,O3 Break Through,1st Half,AaB,O3 Break Through,,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,Established Play,
13,14,1,183.11352222222223,202.40664444444445,D4 Defending the Box,,AaB,,Square Pass,Intercepted by Defence,Successful,0 - 15 min,Transition,
14,15,1,187.2295420978374,201.97525228625037,D2 Finding Balance,1st Half,AaB,,After Ball Loss,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,,True
15,16,1,196.37091527158148,224.74490662591487,O3 Break Through,1st Half,AaB,O3 Break Through,1v1 Wide / Halfspace,"Cross, Shot, Set-Piece or Box Entry",Successful,0 - 15 min,Established Play,
16,17,1,202.72593191324816,215.57268097458146,O2 Build Up,1st Half,AaB,O2 Build Up,O2 After Regain,Progress to Next Phase,Successful,0 - 15 min,,
17,18,1,206.37417398024823,232.85582158624825,O4 Finishing,1st Half,AaB,O4 Finishing,Chipball,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Established Play,
