,code_id,period_id,timestamp,end_timestamp,code,00. Start Phase,01. Phase,02. Situation Type,Half,03. Outcomes,04. Rating,Time Period,<flag>New Flag,Opponent
0,1,1,0.0,18.07674961732397,O4 Finishing,O4 Finishing,Established Play,Square Pass,1st Half,Open Chance,Successful,0 - 15 min,True,Randers
1,2,1,0.0,18.889472235666517,O2 Build Up,O2 Build Up,,O2 Free Kick,1st Half,Progress to O4,Successful,0 - 15 min,,Randers
2,3,1,0.0,2768.2671101854944,KO,,,,,,,,,Randers
3,4,1,5.733129532666453,28.733129532666453,Goal FCN,,,Kickoff,1st Half,,,,,Randers
4,5,1,47.65609838324652,75.38248361906828,Ndividual,,,,,,,0 - 15 min,True,Randers
5,6,1,67.47892445699978,87.3178856680002,D3 Middle / Lower Pressing,,,D3 Goal Kick or Free Kick,1st Half,Stay In Phase,Neutral,0 - 15 min,,Randers
6,7,1,83.2403499233331,111.03703085333319,D4 Defending the Box,,Throw In,Long Throw,1st Half,OFF Transition,Successful,0 - 15 min,,Randers
7,8,1,92.21941666566664,121.66204886566646,O3 Break Through,O3 Break Through,Transition,After D4 Def. Box,1st Half,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,,Randers
8,9,1,98.78569255146195,122.28586021538234,def throw,,,,,,,,,Randers
9,10,1,124.21355812333326,147.0806628369998,D3 High Pressing,,,After Ball Loss,1st Half,Stay In Phase,Neutral,0 - 15 min,,Randers
10,11,1,139.65345066366655,154.97082754366664,D2 Finding Balance,,,D3 High Press on Opp. Half,1st Half,Establishing Pressing,Neutral,0 - 15 min,,Randers
11,12,1,140.21883653451107,198.02867777777777,Bench,,,,,,,0 - 15 min,True,Randers
12,13,1,152.96362117166626,181.279674554,D3 Middle / Lower Pressing,,,D3 From High to Med/Low,1st Half,Direct to O3/O4 OFF Transit,Successful,0 - 15 min,,Randers
13,14,1,175.96689386699984,200.76925502466645,O3 Break Through,O3 Break Through,Established Play,Early Through Pass or Cross,1st Half,"Cross, Shot, Set-Piece or Box Entry",Successful,0 - 15 min,,Randers
14,15,1,181.9432687473336,205.4578459919997,O4 Finishing,O4 Finishing,Established Play,Chipball,1st Half,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,,Randers
15,16,1,183.94391348133314,194.1313439196668,O2 Build Up,O2 Build Up,,O2 After Regain,1st Half,Progress to Next Phase,Successful,0 - 15 min,,Randers
16,17,1,204.6607483039998,246.21976596133283,D3 High Pressing,,,D3 Goal Kick or Free Kick,1st Half,Stay In Phase,Neutral,0 - 15 min,,Randers
17,18,1,244.21075849233358,289.40338108299994,D3 Middle / Lower Pressing,,,D3 From High to Med/Low,1st Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,,Randers
18,19,1,294.5341112273332,299.3720579513329,O1 Play from the Back,O1 Play from the Back,,O1 Throw-In,1st Half,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,,Randers
19,20,1,296.2234687869996,322.18046327633334,O3 Break Through,O3 Break Through,Transition,D3 Win Ball Low/Middle,1st Half,"Cross, Shot, Set-Piece or Box Entry",Successful,0 - 15 min,,Randers
20,21,1,297.1007258306033,325.31798888888886,Bench,,,,,,,0 - 15 min,True,Randers
21,22,1,299.9895093500002,315.2631032763334,D3 Middle / Lower Pressing,,,D3 Press on Throw-In,1st Half,Direct to O3/O4 OFF Transit,Successful,0 - 15 min,,Randers
22,23,1,303.075022372,327.7629526319998,O4 Finishing,O4 Finishing,Transition,Square Pass,1st Half,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,,Randers
23,24,1,324.96042832200015,363.82339754166657,O4 Finishing,O4 Finishing,Corner Kick,Front Area,1st Half,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,,Randers
24,25,1,346.51439570666633,379.7499869566669,O4 Finishing,O4 Finishing,Corner Kick,Back Area,1st Half,,,0 - 15 min,,Randers
25,26,1,349.19697855299984,360.19697855299984,off corner,,,Front Area,1st Half,,,,,Randers
26,27,1,369.26329685033335,380.26329685033335,off corner,,,Back Area,1st Half,Intercepted by Defence,Unsuccessful,,,Randers
27,28,1,381.30229386833327,414.3357557039995,D3 Middle / Lower Pressing,,,After Ball Loss,1st Half,Direct to O3/O4 OFF Transit,Successful,0 - 15 min,,Randers
28,29,1,393.8192535112703,483.42730000000006,Bench,,,,,,,0 - 15 min,True,Randers
29,30,1,395.2383154269996,422.05282569933337,O3 Break Through,O3 Break Through,Transition,D3 Win Ball Low/Middle,1st Half,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,,Randers
30,31,1,409.29551304833336,437.21813204933284,O3 Break Through,O3 Break Through,Transition,Transition After CP,1st Half,Keep The Ball,Neutral,0 - 15 min,,Randers
31,32,1,414.1290533940001,428.4330433636663,D1 Counterpress,,,After O3/O4,1st Half,Direct to O3/O4 OFF Transit,Successful,0 - 15 min,,Randers
32,33,1,418.2629402103335,446.5557246306665,O3 Break Through,O3 Break Through,Established Play,,1st Half,Keep The Ball,Neutral,0 - 15 min,,Randers
33,34,1,444.3776073479999,471.1850886690002,O2 Build Up,O2 Build Up,,O3 to O2,1st Half,Progress to Next Phase,Successful,0 - 15 min,,Randers
34,35,1,452.60600239533306,479.2987164070001,O3 Break Through,O3 Break Through,Established Play,Wide Link Up Play,1st Half,Lead to O4 chance,Successful,0 - 15 min,,Randers
