,code_id,period_id,timestamp,end_timestamp,code,Half,Opponent,04. Rating,03. Outcomes,Time Period,02. Situation Type,00. Start Phase,01. Phase,<flag>New Flag
0,1,1,0.0,2706.9413736185015,KO,1st Half,FCK,,,,,,,
1,2,1,0.8463202857432179,20.510018135681605,D3 Middle / Lower Pressing,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,,,,
2,3,1,21.680965072681886,42.77825629901503,D3 High Pressing,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,After Ball Loss,,,
3,4,1,40.10346915301517,78.9822094060151,O3 Break Through,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,Central Play Infront of Backline,O3 Break Through,Established Play,True
4,5,1,40.61032902534845,59.12949565368166,O2 Build Up,1st Half,FCK,Successful,Progress to Next Phase,0 - 15 min,O2 After Regain,O2 Build Up,,
5,6,1,95.08939970568156,123.23010544968167,O3 Break Through,1st Half,FCK,Neutral,Ball Loss --> D3 Press,0 - 15 min,D3 High Press on Opp. Half,O3 Break Through,Transition,
6,7,1,99.52078980768164,114.04650474334841,D3 High Pressing,1st Half,FCK,Successful,Direct to O3/O4 OFF Transit,0 - 15 min,D3 Goal Kick or Free Kick,,,
7,8,1,124.46409577234834,152.58858483348337,D3 Middle / Lower Pressing,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,D3 Press on Throw-In,,,True
8,9,1,149.84399345101502,165.66324311934846,O2 Build Up,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,O2 After Regain,O2 Build Up,,
9,10,1,153.2497138838884,203.98174444444447,Bench,,FCK,,,,,,,True
10,11,1,157.77474587301515,187.07041747134826,O3 Break Through,1st Half,FCK,Successful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,,O3 Break Through,Established Play,
11,12,1,163.44681848134837,169.05985466634837,O1 Play from the Back,1st Half,FCK,Successful,Progress to Next Phase,0 - 15 min,O2 to O1,O1 Play from the Back,,
12,13,1,166.85740664601525,176.95254881468173,O2 Build Up,1st Half,FCK,Successful,Progress to Next Phase,0 - 15 min,O1 to O2,O2 Build Up,,
13,14,1,167.95002931068166,191.75989632201504,O4 Finishing,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Pass Infront of Backline,O4 Finishing,Established Play,
14,15,1,183.80564860301507,202.9849995306817,D1 Counterpress,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,After O3/O4,,,
15,16,1,200.91229026768184,214.18666547468177,O2 Build Up,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O2 After Regain,O2 Build Up,,
16,17,1,206.9428849170152,219.57900088434843,D2 Finding Balance,1st Half,FCK,Neutral,Establishing Pressing,0 - 15 min,After Ball Loss,,,
17,18,1,217.5848698393483,234.163316748015,D3 Middle / Lower Pressing,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,After Ball Loss,,,
18,19,1,232.44240749568183,247.20940871401518,D3 High Pressing,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,D3 From Low/Med to High,,,
19,20,1,249.55822182268167,265.4523066593484,D3 Middle / Lower Pressing,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,D3 Goal Kick or Free Kick,,,
20,21,1,263.75494590534834,278.15625243360626,O1 Play from the Back,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O1 After Regain,O1 Play from the Back,,True
21,22,1,280.40169408334833,298.5722433220149,D3 Middle / Lower Pressing,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,D3 Press on Throw-In,,,
22,23,1,296.32235506401486,312.0128466356817,D3 High Pressing,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,D3 From Low/Med to High,,,
23,24,1,310.3554263516816,345.0866494736818,D3 Middle / Lower Pressing,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,D3 Press on Throw-In,,,
24,25,1,338.51356434268183,375.7883863530149,D4 Defending the Box,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Long Throw,,Throw In,
25,26,1,363.1193215250151,387.4598185886817,D4 Defending the Box,1st Half,FCK,Unsuccessful,Chance,0 - 15 min,Chipball,,Established Play,
26,27,1,385.9147424826818,398.38921943901533,O1 Play from the Back,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O1 Goal Kick or Free Kick,O1 Play from the Back,,
27,28,1,392.07291880201507,404.8604967756817,D1 Counterpress,1st Half,FCK,Neutral,Establishing Pressing,0 - 15 min,After O1 build-up,,,
28,29,1,403.7618319706817,442.3130985546821,D3 Middle / Lower Pressing,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,D3 Press on Throw-In,,,
29,30,1,440.7111623813484,449.58293497201527,O2 Build Up,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O2 Throw-In,O2 Build Up,,
30,31,1,456.82134147301514,483.2901539656819,D3 Middle / Lower Pressing,1st Half,FCK,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,D3 Goal Kick or Free Kick,,,True
31,32,1,481.7361468906818,505.8288159640147,O2 Build Up,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,O2 Free Kick,O2 Build Up,,
32,33,1,503.78750184768165,527.5998444847179,O1 Play from the Back,1st Half,FCK,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O2 to O1,O1 Play from the Back,,True
33,34,1,525.3848157210152,551.6418743655432,D3 Middle / Lower Pressing,1st Half,FCK,Successful,Direct to O3/O4 OFF Transit,0 - 15 min,After Ball Loss,,,
34,35,1,527.5616768269455,564.7034701188625,Bench,,FCK,,,,,,,True
35,36,1,530.0788312572128,563.87540865025,O3 Break Through,1st Half,FCK,Successful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,D3 Win Ball Low/Middle,O3 Break Through,Transition,True
36,37,1,545.1638969200153,572.0039123746815,O4 Finishing,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Pass Infront of Backline,O4 Finishing,Transition,
37,38,1,561.4816053520151,607.200529101015,O4 Finishing,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Front Area,O4 Finishing,Corner Kick,
38,39,1,595.6199808013482,606.6199808013482,off corner,1st Half,FCK,,,,Front Area,,,
39,40,1,607.1916129966817,626.9451138080149,D3 High Pressing,1st Half,FCK,Neutral,Stay In Phase,0 - 15 min,D3 Goal Kick or Free Kick,,,
40,41,1,609.3231444444444,639.3231444444444,Bench,,FCK,,,,,,,True
41,42,1,618.5294022613487,638.157696572682,D2 Finding Balance,1st Half,FCK,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,D3 High Press on Opp. Half,,,
42,43,1,623.3175303613482,644.5017668976814,D4 Defending the Box,1st Half,FCK,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Pass Infront of Backline,,Established Play,
43,44,1,642.6587333380148,668.027361465077,O1 Play from the Back,1st Half,FCK,Successful,Progress to Next Phase,0 - 15 min,O1 Goal Kick or Free Kick,O1 Play from the Back,,True
