,code_id,period_id,timestamp,end_timestamp,code,Half,Opponent,02. Situation Type,04. Rating,03. Outcomes,Time Period,00. Start Phase,<flag>New Flag,01. Phase
0,1,1,0.0,2950.496124415658,KO,1st Half,AGF,,,,,,,
1,2,1,3.9260993176530974,12.517680167248102,D3 Middle / Lower Pressing,1st Half,AGF,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
2,3,1,15.253157885583363,43.56623349091208,O2 Build Up,1st Half,AGF,O2 Free Kick,Successful,Progress to Next Phase,0 - 15 min,O2 Build Up,,
3,4,1,36.08873325224934,49.702234854914906,D1 Counterpress,1st Half,AGF,After O3/O4,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
4,5,1,48.61778839491561,67.80121732352785,O2 Build Up,1st Half,AGF,O2 After Regain,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O2 Build Up,True,
5,6,1,78.79068303891174,84.11496377724873,D3 High Pressing,1st Half,AGF,D3 From Low/Med to High,Neutral,Stay In Phase,0 - 15 min,,,
6,7,1,82.30612504391374,95.40480441958047,D3 Middle / Lower Pressing,1st Half,AGF,D3 Goal Kick or Free Kick,Neutral,Stay In Phase,0 - 15 min,,,
7,8,1,98.3083042785822,117.77818497250759,D3 Middle / Lower Pressing,1st Half,AGF,D3 Press on Throw-In,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,True,
8,9,1,112.84857511324722,140.15247905558093,O2 Build Up,1st Half,AGF,O2 After Regain,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O2 Build Up,,
9,10,1,131.39800950924828,143.0681082329161,D1 Counterpress,1st Half,AGF,After O2 build-up,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
10,11,1,138.9795784832485,164.15576993458117,O3 Break Through,1st Half,AGF,Wide Link Up Play,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O3 Break Through,,Established Play
11,12,1,140.93895742558053,157.99597638591072,O2 Build Up,1st Half,AGF,O2 After Regain,Successful,Progress to Next Phase,0 - 15 min,O2 Build Up,,
12,13,1,156.40785292024734,171.68094205125024,D1 Counterpress,1st Half,AGF,After O3/O4,Neutral,Establishing Pressing,0 - 15 min,,,
13,14,1,172.64557522158103,197.62178485891516,O3 Break Through,1st Half,AGF,D3 High Press on Opp. Half,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O3 Break Through,,Transition
14,15,1,174.5518153235803,190.9523521385792,D3 High Pressing,1st Half,AGF,After Ball Loss,Successful,Direct to O3/O4 OFF Transit,0 - 15 min,,,
15,16,1,187.31524496891203,210.53520590691167,O3 Break Through,1st Half,AGF,Transition After CP,Successful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,O3 Break Through,,Transition
16,17,1,189.01975517958184,200.8896603455801,D1 Counterpress,1st Half,AGF,After O3/O4,Successful,Direct to O3/O4 OFF Transit,0 - 15 min,,,
17,18,1,191.3411316445826,219.2575226722482,O4 Finishing,1st Half,AGF,Chipball,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,O4 Finishing,,Transition
18,19,1,219.5563264419125,240.68222620291434,D3 High Pressing,1st Half,AGF,D3 Goal Kick or Free Kick,Neutral,Stay In Phase,0 - 15 min,,,
19,20,1,230.40228062391733,259.7615388539132,O3 Break Through,1st Half,AGF,D3 Win Ball Low/Middle,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O3 Break Through,,Transition
20,21,1,232.57609745091415,249.40372356724552,D2 Finding Balance,1st Half,AGF,D3 High Press on Opp. Half,Successful,Direct to O3/O4 OFF Transit,0 - 15 min,,,
21,22,1,252.41271589057905,267.3144370532485,D2 Finding Balance,1st Half,AGF,After Ball Loss,Neutral,Establishing Pressing,0 - 15 min,,,
22,23,1,266.48655260224564,273.3761649889125,D3 High Pressing,1st Half,AGF,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
23,24,1,271.76670844858234,309.39977327024803,O2 Build Up,1st Half,AGF,O2 Throw-In,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O2 Build Up,,
24,25,1,308.859442062581,335.08369377158044,D3 High Pressing,1st Half,AGF,After Ball Loss,Neutral,Stay In Phase,0 - 15 min,,,
25,26,1,333.5282803145529,351.23801081477944,Bench,,AGF,,,,,,True,
26,27,1,333.8090849335797,347.89890780824817,D3 High Pressing,1st Half,AGF,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
27,28,1,346.24828790391393,419.4043246145833,O2 Build Up,1st Half,AGF,O2 Throw-In,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O2 Build Up,True,
28,29,1,411.6571880075811,425.29157274191084,D1 Counterpress,1st Half,AGF,After O2 build-up,Neutral,Establishing Pressing,0 - 15 min,,,
29,30,1,436.8520542499132,448.21691771791143,D3 High Pressing,1st Half,AGF,D3 Press on Throw-In,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
30,31,1,450.850000220581,515.8492646209152,O2 Build Up,1st Half,AGF,O2 After Regain,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O2 Build Up,,
31,32,1,507.8300691462489,525.9824999292489,D1 Counterpress,1st Half,AGF,After O2 build-up,Neutral,Establishing Pressing,0 - 15 min,,,
32,33,1,512.700590109582,540.5906662349128,O3 Break Through,1st Half,AGF,D3 Win Ball Low/Middle,Successful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,O3 Break Through,,Transition
33,34,1,516.9383993241435,535.8272660465739,D3 Middle / Lower Pressing,1st Half,AGF,After Ball Loss,Successful,Direct to O3/O4 OFF Transit,0 - 15 min,,True,
34,35,1,521.3574710415794,547.5399942855811,O4 Finishing,1st Half,AGF,1v1,Unsuccessful,Intercepted by Defence,0 - 15 min,O4 Finishing,,Transition
35,36,1,534.6332041039127,561.1062817712477,O3 Break Through,1st Half,AGF,Transition After CP,Successful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,O3 Break Through,,Transition
36,37,1,538.8022768012465,551.1982488929136,D1 Counterpress,1st Half,AGF,After O3/O4,Successful,Direct to O3/O4 OFF Transit,0 - 15 min,,,
37,38,1,558.3135479772837,581.20471846046,Ndividual,,AGF,,,,,,True,
38,39,1,568.311898441583,607.4171217382473,O4 Finishing,1st Half,AGF,Front Area,Unsuccessful,DEF Transition,0 - 15 min,O4 Finishing,,Lateral Free Kick
39,40,1,594.7431783805816,605.7431783805816,off free kick,1st Half,AGF,Front Area,,,,,True,
40,41,1,601.6514094522472,623.3767911142481,D2 Finding Balance,1st Half,AGF,After Offensive Set-Piece,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,,,
41,42,1,655.1614197379126,688.7635741182485,D4 Defending the Box,1st Half,AGF,Central Area,Successful,Intercepted by Defence,0 - 15 min,,,Lateral Free Kick
42,43,1,675.1259956932477,686.1259956932477,def free kick,1st Half,AGF,Central Area,,,,,,
43,44,1,688.6789649349137,736.7546324239149,O2 Build Up,1st Half,AGF,O2 Throw-In,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O2 Build Up,True,
44,45,1,737.39621983858,756.7467779722476,D3 High Pressing,1st Half,AGF,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
45,46,1,753.2144414352504,780.9831901015818,O3 Break Through,1st Half,AGF,Central Play Infront of Backline,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O3 Break Through,,Established Play
46,47,1,755.0897365549129,772.2725291692473,O2 Build Up,1st Half,AGF,O2 After Regain,Successful,Progress to Next Phase,0 - 15 min,O2 Build Up,,
47,48,1,789.3158297929131,810.8551234234889,D3 Middle / Lower Pressing,1st Half,AGF,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,True,
48,49,1,803.2614966679125,863.2161296749143,O2 Build Up,1st Half,AGF,O2 Throw-In,Successful,Progress to Next Phase,0 - 15 min,O2 Build Up,,
49,50,1,815.5825043695237,877.4149999999998,Bench,,AGF,,,,,,True,
50,51,1,844.0061541089169,873.8319508239133,O3 Break Through,1st Half,AGF,Wide Link Up Play,Successful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,O3 Break Through,,Established Play
51,52,1,854.6629299192462,878.3852121995803,O4 Finishing,1st Half,AGF,Chipball,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,O4 Finishing,True,Established Play
52,53,1,875.9200234795808,908.0245812762487,O4 Finishing,1st Half,AGF,Short Variation,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,O4 Finishing,,Corner Kick
53,54,1,895.5409486699139,906.5409486699139,off corner,1st Half,AGF,Short Variation,,,,,,
54,55,1,913.8588372975823,932.8605608502487,D3 High Pressing,1st Half,AGF,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",16 - 30 min,,,
55,56,1,932.0417802965785,986.1574098799167,O2 Build Up,1st Half,AGF,O2 Throw-In,Unsuccessful,Ball Loss --> D3 Press,16 - 30 min,O2 Build Up,,
56,57,1,985.4744832062468,1012.2304683015816,D3 High Pressing,1st Half,AGF,D3 Press on Throw-In,Successful,"Intercept. -> Estab. (O1, O2, O3)",16 - 30 min,,,
57,58,1,1006.6779718825812,1030.815325642581,O3 Break Through,1st Half,AGF,1v1 Wide / Halfspace,Successful,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,O3 Break Through,True,Established Play
58,59,1,1012.0725783792484,1025.8385190659121,O2 Build Up,1st Half,AGF,O2 Throw-In,Successful,Progress to Next Phase,16 - 30 min,O2 Build Up,,
59,60,1,1016.0201395325803,1044.3598251259143,O4 Finishing,1st Half,AGF,Square Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,O4 Finishing,,Established Play
60,61,1,1025.7818719885793,1072.1205772612482,O4 Finishing,1st Half,AGF,Back Area,Neutral,"Cross, Shot, Set-Piece or Box Entry",16 - 30 min,O4 Finishing,,Corner Kick
61,62,1,1056.7395194965827,1067.7395194965827,off corner,1st Half,AGF,Back Area,,,,,,
62,63,1,1079.698764180246,1109.520528927247,D3 High Pressing,1st Half,AGF,D3 Press on Throw-In,Neutral,Stay In Phase,16 - 30 min,,,
63,64,1,1111.4327174219147,1130.5218838155777,D3 Middle / Lower Pressing,1st Half,AGF,D3 Press on Throw-In,Neutral,Stay In Phase,16 - 30 min,,,
64,65,1,1134.7851573915805,1149.9100564722503,D3 Middle / Lower Pressing,1st Half,AGF,D3 Press on Throw-In,Successful,"Intercept. -> Estab. (O1, O2, O3)",16 - 30 min,,,
65,66,1,1149.3705410965813,1198.3380070892456,O2 Build Up,1st Half,AGF,O2 Free Kick,Successful,Progress to Next Phase,16 - 30 min,O2 Build Up,,
66,67,1,1179.2166653789154,1207.1184338969156,O3 Break Through,1st Half,AGF,1v1 Wide / Halfspace,Unsuccessful,Ball Loss --> D3 Press,16 - 30 min,O3 Break Through,True,Established Play
67,68,1,1207.04238519858,1243.6590064352474,D3 High Pressing,1st Half,AGF,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",16 - 30 min,,,
68,69,1,1242.712231884247,1287.4379432099147,O2 Build Up,1st Half,AGF,O2 Free Kick,Successful,Progress to Next Phase,16 - 30 min,O2 Build Up,,
69,70,1,1268.3726325812474,1296.5379998222463,O3 Break Through,1st Half,AGF,Central Play Infront of Backline,Unsuccessful,Ball Loss --> D3 Press,16 - 30 min,O3 Break Through,True,Established Play
