,code_id,period_id,timestamp,end_timestamp,code,00. Start Phase,02. Situation Type,03. Outcomes,04. Rating,Time Period,Opponent,<flag>New Flag,Half,01. Phase
0,1,1,0.0,5.280749829999275,O2 Build Up,O2 Build Up,O2 Free Kick,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,Randers,,,
1,2,1,0.0,12.788745323999814,D1 Counterpress,,After O2 build-up,Establishing Pressing,Neutral,0 - 15 min,Randers,,,
2,3,1,0.0,245.7021184749043,Bench,,,,,,Randers,True,,
3,4,1,0.0,2816.6432486984254,KO,,,,,,Randers,,1st Half,
4,5,1,6.577601327999041,30.88049923799885,O3 Break Through,O3 Break Through,Quick Restart,Lead to O4 chance,Successful,0 - 15 min,Randers,,,Throw In
5,6,1,9.57916841000091,31.527533333333334,O4 Finishing,O4 Finishing,Quick Restart,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Randers,,,Throw In
6,7,1,10.780396319999413,23.681743211999944,D3 Middle / Lower Pressing,,After Ball Loss,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,Randers,,,
7,8,1,18.60912141106103,32.94296182522656,Ndividual,,,,,,Randers,,,
8,9,1,33.98824331799877,56.091196904997766,D3 High Pressing,,After Ball Loss,Stay In Phase,Neutral,0 - 15 min,Randers,,,
9,10,1,46.68813437499952,103.09969615141348,O3 Break Through,O3 Break Through,Short Throw-In,"Cross, Shot, Set-Piece or Box Entry",Successful,0 - 15 min,Randers,,,Throw In
10,11,1,55.280611554999794,64.39226998399823,D3 High Pressing,,D3 Press on Throw-In,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,Randers,,,
11,12,1,69.48037283099953,117.51954776915716,O4 Finishing,O4 Finishing,Long Throw,Chance,Successful,0 - 15 min,Randers,True,,Throw In
12,13,1,72.59825373699759,82.51339868760691,off throw,,,,,,Randers,,,
13,14,1,83.09498503527236,96.63302279481856,off throw,,,,,,Randers,True,,
14,15,1,84.62575306856299,138.03213746469623,Goal FCN,,Established Play,,,,Randers,,1st Half,
15,16,1,137.5710989979992,147.79125704299918,D3 Middle / Lower Pressing,,D3 Goal Kick or Free Kick,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,Randers,,,
16,17,1,146.0859593390008,152.78239762299853,O2 Build Up,O2 Build Up,O2 Throw-In,Stay In Phase,Neutral,0 - 15 min,Randers,,,
17,18,1,150.79223582699876,164.086922383,O1 Play from the Back,O1 Play from the Back,O2 to O1,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,Randers,,,
18,19,1,165.59066865799937,172.5800717790005,D3 Middle / Lower Pressing,,D3 Press on Throw-In,Stay In Phase,Neutral,0 - 15 min,Randers,,,
19,20,1,168.17205194100006,188.4930093849979,D3 High Pressing,,D3 From Low/Med to High,Direct to O3/O4 OFF Transit,Successful,0 - 15 min,Randers,,,
20,21,1,170.89258491799893,201.4779034910003,O3 Break Through,O3 Break Through,D3 High Press on Opp. Half,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,Randers,,,Transition
21,22,1,192.20187777777778,205.88948708099795,D1 Counterpress,,Transition on Transition,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,Randers,,,
22,23,1,204.68826015199926,230.37916830299912,O2 Build Up,O2 Build Up,O2 After Regain,Progress to Next Phase,Successful,0 - 15 min,Randers,,,
23,24,1,211.28168286999963,238.19048822899896,O3 Break Through,O3 Break Through,1v1 Wide / Halfspace,"Cross, Shot, Set-Piece or Box Entry",Successful,0 - 15 min,Randers,,,Established Play
24,25,1,250.88409889500076,276.8828308099997,O4 Finishing,O4 Finishing,Central Area,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Randers,,,Lateral Free Kick
25,26,1,267.8354753452983,290.08657611664444,off free kick,,,,,,Randers,True,,
