,code_id,period_id,timestamp,end_timestamp,code,00. Start Phase,01. Phase,02. Situation Type,Half,04. Rating,03. Outcomes,Opponent,Time Period,<flag>New Flag
0,1,1,0.0,26.81036932500038,O3 Break Through,O3 Break Through,Transition,Transition After CP,1st Half,Successful,"Cross, Shot, Set-Piece or Box Entry",Horsens,0 - 15 min,
1,2,1,0.3790709276669588,11.669764820999973,O2 Build Up,O2 Build Up,,O2 Free Kick,1st Half,Unsuccessful,Ball Loss --> D3 Press,Horsens,0 - 15 min,
2,3,1,1.6996945479301928,3064.5748980229814,KO,,,,1st Half,,,Horsens,45+ min,
3,4,1,3.0594049100001826,18.681597531333352,D1 Counterpress,,,After O2 build-up,1st Half,Successful,Direct to O3/O4 OFF Transit,Horsens,0 - 15 min,
4,5,1,7.616590354000152,30.420917187000214,O4 Finishing,O4 Finishing,Transition,Chipball,1st Half,Neutral,"Cross, Shot, Set-Piece or Box Entry",Horsens,0 - 15 min,
5,6,1,28.635063179333315,52.917650438333595,O2 Build Up,O2 Build Up,,O2 After Regain,1st Half,Successful,Progress to Next Phase,Horsens,0 - 15 min,
6,7,1,34.769735341333785,57.6859544306669,O3 Break Through,O3 Break Through,Established Play,Wide Link Up Play,1st Half,Successful,"Cross, Shot, Set-Piece or Box Entry",Horsens,0 - 15 min,
7,8,1,38.52453914500035,61.28719195766672,O4 Finishing,O4 Finishing,Established Play,Chipball,1st Half,Neutral,"Cross, Shot, Set-Piece or Box Entry",Horsens,0 - 15 min,
8,9,1,54.24255899000053,66.53552619300046,D1 Counterpress,,,After O3/O4,1st Half,Neutral,Establishing Pressing,Horsens,0 - 15 min,
9,10,1,69.62723643966677,86.46503297699991,D3 High Pressing,,,D3 Press on Throw-In,1st Half,Successful,"Intercept. -> Estab. (O1, O2, O3)",Horsens,0 - 15 min,
10,11,1,84.75064047633373,141.5632754333335,O2 Build Up,O2 Build Up,,O2 After Regain,1st Half,Successful,Progress to O4,Horsens,0 - 15 min,
11,12,1,122.68188383700056,150.20835040700024,O4 Finishing,O4 Finishing,Established Play,Through Pass,1st Half,Neutral,"Cross, Shot, Set-Piece or Box Entry",Horsens,0 - 15 min,
12,13,1,133.36374663966706,165.764988217667,O4 Finishing,O4 Finishing,Corner Kick,Back Area,1st Half,,,Horsens,0 - 15 min,
13,14,1,157.16132275933364,168.16132275933364,off corner,,,Back Area,1st Half,Neutral,"Cross, Shot, Set-Piece or Box Entry",Horsens,,
14,15,1,160.1488675556671,183.37199667833352,D1 Counterpress,,,After O3/O4,1st Half,Successful,"Intercept. -> Estab. (O1, O2, O3)",Horsens,0 - 15 min,
15,16,1,171.52036553061393,257.0175217983261,Goal FCN,,,Established Play,1st Half,,,Horsens,,True
16,17,1,183.46302599533362,203.7748889356667,O2 Build Up,O2 Build Up,,O2 After Regain,1st Half,Successful,Progress to Next Phase,Horsens,0 - 15 min,
17,18,1,184.79722625333335,213.3378024370005,O3 Break Through,O3 Break Through,Established Play,Early Through Pass or Cross,1st Half,Successful,Lead to O4 chance,Horsens,0 - 15 min,
18,19,1,194.10395633933342,217.8744191226673,O4 Finishing,O4 Finishing,Established Play,Through Pass,1st Half,Successful,Open Chance,Horsens,0 - 15 min,True
19,20,1,254.9091655893336,268.7445150870001,D3 Middle / Lower Pressing,,,D3 Goal Kick or Free Kick,1st Half,Successful,"Intercept. -> Estab. (O1, O2, O3)",Horsens,0 - 15 min,
20,21,1,266.38668461468,279.1875894640022,O1 Play from the Back,O1 Play from the Back,,O2 to O1,1st Half,Unsuccessful,Ball Loss --> D3 Press,Horsens,0 - 15 min,True
21,22,1,266.7348445413336,272.5711940896671,O2 Build Up,O2 Build Up,,O2 After Regain,1st Half,Neutral,Stay In Phase,Horsens,0 - 15 min,
22,23,1,275.3284555406667,302.87491795300025,D3 Middle / Lower Pressing,,,After Ball Loss,1st Half,Neutral,Stay In Phase,Horsens,0 - 15 min,
23,24,1,275.4920543166705,329.6066555555555,Bench,,,,,,,Horsens,0 - 15 min,True
24,25,1,301.83108778099995,309.69542318433355,D3 Middle / Lower Pressing,,,After Ball Loss,1st Half,Neutral,Stay In Phase,Horsens,0 - 15 min,
25,26,1,307.3934137900002,330.1095330766666,O3 Break Through,O3 Break Through,Transition,Transition After CP,1st Half,Neutral,Keep The Ball,Horsens,0 - 15 min,
26,27,1,307.524757080667,319.23985665766656,D3 High Pressing,,,D3 From Low/Med to High,1st Half,Successful,"Intercept. -> Estab. (O1, O2, O3)",Horsens,0 - 15 min,
27,28,1,311.08490080800016,323.55166314833343,D1 Counterpress,,,After O2 build-up,1st Half,Successful,Direct to O3/O4 OFF Transit,Horsens,0 - 15 min,
