,code_id,period_id,timestamp,end_timestamp,code,Half,Opponent,02. Situation Type,04. Rating,03. Outcomes,Time Period,00. Start Phase,01. Phase,<flag>New Flag
0,1,1,0.0,2763.8998062224896,KO,1st Half,FCM,,,,,,,
1,2,1,1.8167383598770641,16.534839470620966,D3 Middle / Lower Pressing,1st Half,FCM,D3 Goal Kick or Free Kick,Neutral,Stay In Phase,0 - 15 min,,,
2,3,1,27.138211803287533,42.29395481195425,D3 Middle / Lower Pressing,1st Half,FCM,D3 Press on Throw-In,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
3,4,1,42.07447939328776,52.6708630572879,O1 Play from the Back,1st Half,FCM,O1 Throw-In,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O1 Play from the Back,,
4,5,1,51.903056225620844,73.43382281895458,D3 Middle / Lower Pressing,1st Half,FCM,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
5,6,1,70.80434169878417,127.52861804062081,O3 Break Through,1st Half,FCM,Wide Link Up Play,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O3 Break Through,Established Play,True
6,7,1,71.33317690195466,93.82467631728758,O1 Play from the Back,1st Half,FCM,O1 Goal Kick or Free Kick,Successful,Progress to Next Phase,0 - 15 min,O1 Play from the Back,,
7,8,1,91.68317320095463,100.13810651862121,O2 Build Up,1st Half,FCM,O1 to O2,Neutral,Stay In Phase,0 - 15 min,O2 Build Up,,
8,9,1,101.77445714728776,120.03959912428758,O2 Build Up,1st Half,FCM,O2 Free Kick,Successful,Progress to Next Phase,0 - 15 min,O2 Build Up,,True
9,10,1,142.64121076162087,169.063703822621,D3 High Pressing,1st Half,FCM,D3 Goal Kick or Free Kick,Neutral,Stay In Phase,0 - 15 min,,,
10,11,1,168.12376090962096,181.95231313695461,D3 Middle / Lower Pressing,1st Half,FCM,D3 Press on Throw-In,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
11,12,1,180.12976038528757,193.09526958795414,O1 Play from the Back,1st Half,FCM,O1 After Regain,Successful,Progress to Next Phase,0 - 15 min,O1 Play from the Back,,
12,13,1,207.60384500828752,221.91005713362097,O2 Build Up,1st Half,FCM,O2 Free Kick,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O2 Build Up,,
13,14,1,220.70928574328764,227.086322865621,D3 High Pressing,1st Half,FCM,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
14,15,1,238.59082422838938,261.03438206730704,O2 Build Up,1st Half,FCM,O2 Throw-In,Neutral,Stay In Phase,0 - 15 min,O2 Build Up,,True
15,16,1,247.18583300162072,263.4293843879535,D1 Counterpress,1st Half,FCM,After O1 build-up,Neutral,Establishing Pressing,0 - 15 min,,,
16,17,1,247.90792654795416,256.1806270089543,O1 Play from the Back,1st Half,FCM,O2 to O1,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O1 Play from the Back,,
17,18,1,261.7462687096207,275.9719765076204,D3 Middle / Lower Pressing,1st Half,FCM,After Ball Loss,Neutral,Stay In Phase,0 - 15 min,,,
18,19,1,273.77279071895396,306.9033315812877,D3 High Pressing,1st Half,FCM,D3 From Low/Med to High,Successful,Direct to O3/O4 OFF Transit,0 - 15 min,,,True
19,20,1,287.7126711146208,312.2588170582874,O3 Break Through,1st Half,FCM,Transition After CP,Successful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,O3 Break Through,Transition,
20,21,1,300.4944352652875,321.0631211089541,Offside review,,FCM,,,,,,,
21,22,1,303.78072111195456,340.93675902328755,O4 Finishing,,FCM,Front Area,,Chance,0 - 15 min,O4 Finishing,Corner Kick,
22,23,1,317.4854548008563,340.40927691521347,off corner,,FCM,Front Area,Neutral,"Cross, Shot, Set-Piece or Box Entry",,,,True
23,24,1,344.53561236528776,356.05140869128775,O2 Build Up,,FCM,O3 to O2,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,O2 Build Up,,
24,25,1,359.0192240462883,405.413456854954,D3 Middle / Lower Pressing,,FCM,After Ball Loss,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,,,True
25,26,1,434.1348357292876,468.19021194995446,D4 Defending the Box,,FCM,Close Range 16-20 m.,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,,Direct Free Kick,
26,27,1,456.55866776362075,467.55866776362075,def free kick,,FCM,Close Range 16-20 m.,,,,,Direct Free Kick,
27,28,1,459.2549006532877,478.4272852192869,D4 Defending the Box,,FCM,Chipball,Successful,Intercepted by Defence,0 - 15 min,,Established Play,
28,29,1,477.3731906952871,510.89162658462135,O2 Build Up,,FCM,O2 After Regain,Neutral,Stay In Phase,0 - 15 min,O2 Build Up,,True
