,code_id,period_id,timestamp,end_timestamp,code,Half,Opponent,02. Situation Type,04. Rating,03. Outcomes,Time Period,01. Phase,00. Start Phase,<flag>New Flag
0,1,1,0.0,2883.8006826927267,KO,1st Half,AaB,,,,,,,
1,2,1,1.440966975535332,9.27440026198883,D3 Middle / Lower Pressing,1st Half,AaB,D3 Goal Kick or Free Kick,Neutral,Stay In Phase,0 - 15 min,,,
2,3,1,11.547660658322826,36.071433521322746,D4 Defending the Box,1st Half,AaB,Long Throw,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Throw In,,
3,4,1,35.57374121798941,43.57504918165628,D3 Middle / Lower Pressing,1st Half,AaB,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
4,5,1,42.03692580832248,51.97930938398909,O1 Play from the Back,1st Half,AaB,O1 After Regain,Successful,Progress to Next Phase,0 - 15 min,,O1 Play from the Back,
5,6,1,49.91518009398939,63.107779302989826,O2 Build Up,1st Half,AaB,O1 to O2,Neutral,Stay In Phase,0 - 15 min,,O2 Build Up,
6,7,1,63.98264199132265,83.5694999326557,O2 Build Up,1st Half,AaB,O2 After Regain,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,,O2 Build Up,
7,8,1,82.54381820598925,100.81465149399,D3 High Pressing,1st Half,AaB,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
8,9,1,99.21067005598886,142.46914422965685,O2 Build Up,1st Half,AaB,O2 After Regain,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,,O2 Build Up,
9,10,1,134.9688480133228,153.64742977165602,D2 Finding Balance,1st Half,AaB,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
10,11,1,151.58089698898956,156.14632928998955,O2 Build Up,1st Half,AaB,O2 After Regain,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,,O2 Build Up,
11,12,1,153.30016637798914,186.24354898665618,O3 Break Through,1st Half,AaB,D3 Win Ball Low/Middle,Successful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Transition,O3 Break Through,
12,13,1,155.6478587709898,171.90126185232353,D3 Middle / Lower Pressing,1st Half,AaB,D3 Press on Throw-In,Successful,Direct to O3/O4 OFF Transit,0 - 15 min,,,
13,14,1,167.21644231132237,190.54005891698998,O4 Finishing,1st Half,AaB,Square Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Transition,O4 Finishing,
14,15,1,181.63926965699008,226.14212476398976,O4 Finishing,1st Half,AaB,Short Variation,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Corner Kick,O4 Finishing,
15,16,1,205.88512633365642,216.88512633365642,off corner,1st Half,AaB,Short Variation,,,,,,
16,17,1,228.64939103732306,250.11023290265578,D3 High Pressing,1st Half,AaB,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
17,18,1,235.95379150265606,255.95379150265606,Ndividual,1st Half,AaB,,,,,,,
18,19,1,247.94791715998954,269.28130160398985,O2 Build Up,1st Half,AaB,O2 After Regain,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,,O2 Build Up,
19,20,1,269.0328563116565,298.43433819565576,D3 High Pressing,1st Half,AaB,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
20,21,1,300.2426044993224,332.7256216959902,O2 Build Up,1st Half,AaB,O2 Free Kick,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,,O2 Build Up,
21,22,1,323.87499193865597,336.0000144196565,D1 Counterpress,1st Half,AaB,After O2 build-up,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
22,23,1,335.37283751565656,344.20498149399,O1 Play from the Back,1st Half,AaB,O1 After Regain,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,,O1 Play from the Back,
23,24,1,342.40315301265605,359.9013679129898,D3 Middle / Lower Pressing,1st Half,AaB,After Ball Loss,Successful,Direct to O3/O4 OFF Transit,0 - 15 min,,,
24,25,1,343.30784440932325,367.9001377439895,O3 Break Through,1st Half,AaB,D3 High Press on Opp. Half,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,Transition,O3 Break Through,
25,26,1,361.3684650143226,373.8121791679897,D1 Counterpress,1st Half,AaB,After O3/O4,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
26,27,1,372.09947412865597,425.6053554893226,O2 Build Up,1st Half,AaB,O2 Throw-In,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,,O2 Build Up,
27,28,1,424.4108086639894,440.6796264109903,D3 High Pressing,1st Half,AaB,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
28,29,1,439.2794470049895,461.8327066516564,O2 Build Up,1st Half,AaB,O2 After Regain,Successful,Progress to Next Phase,0 - 15 min,,O2 Build Up,
29,30,1,442.91166871098983,472.0813693993225,O3 Break Through,1st Half,AaB,Wide Link Up Play,Successful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Established Play,O3 Break Through,
30,31,1,453.1039560049894,479.13771720298973,O4 Finishing,1st Half,AaB,Cutback,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Established Play,O4 Finishing,
31,32,1,476.9100616413234,507.60062391232304,O2 Build Up,1st Half,AaB,O2 After Regain,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,,O2 Build Up,
32,33,1,499.1320700936558,514.1988487753233,D1 Counterpress,1st Half,AaB,After O2 build-up,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
33,34,1,503.74543261465624,526.7011173886558,O3 Break Through,1st Half,AaB,Central Play Infront of Backline,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,Established Play,O3 Break Through,
34,35,1,527.3115144793226,552.3395251333234,D3 High Pressing,1st Half,AaB,D3 Press on Throw-In,Successful,Direct to O3/O4 OFF Transit,0 - 15 min,,,
35,36,1,533.5134033433228,563.3701682926564,O3 Break Through,1st Half,AaB,D3 High Press on Opp. Half,Neutral,Keep The Ball,0 - 15 min,Transition,O3 Break Through,
36,37,1,561.7672196179892,594.0662733466563,O2 Build Up,1st Half,AaB,O3 to O2,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,,O2 Build Up,
37,38,1,589.4735665886562,603.1725200433232,D1 Counterpress,1st Half,AaB,After O2 build-up,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
38,39,1,601.3389686923235,652.0658234663229,O2 Build Up,1st Half,AaB,O2 Free Kick,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,,O2 Build Up,
39,40,1,661.0759005653224,677.866890934323,D3 High Pressing,1st Half,AaB,D3 Goal Kick or Free Kick,Neutral,Stay In Phase,0 - 15 min,,,
40,41,1,676.951229739323,691.4979277466557,D3 High Pressing,1st Half,AaB,D3 Press on Throw-In,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
41,42,1,689.4644506523232,698.45627560299,O2 Build Up,1st Half,AaB,O2 After Regain,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,,O2 Build Up,
42,43,1,707.4680959969894,724.4062105783225,D3 High Pressing,1st Half,AaB,D3 Goal Kick or Free Kick,Neutral,Stay In Phase,0 - 15 min,,,
43,44,1,723.1348141109895,772.2073402136562,D3 Middle / Lower Pressing,1st Half,AaB,D3 From High to Med/Low,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
44,45,1,770.2313875939899,808.3673418859894,O2 Build Up,1st Half,AaB,O2 After Regain,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,,O2 Build Up,
45,46,1,815.1629122969898,832.0626740156556,D3 High Pressing,1st Half,AaB,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,,
46,47,1,831.5413425179897,858.3041841663223,O2 Build Up,1st Half,AaB,O2 Throw-In,Neutral,Stay In Phase,0 - 15 min,,O2 Build Up,
47,48,1,854.7846686633735,885.3754103487864,O3 Break Through,1st Half,AaB,,Successful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Established Play,O3 Break Through,True
48,49,1,856.0621498539897,867.80629700999,O1 Play from the Back,1st Half,AaB,O2 to O1,Successful,Progress to Next Phase,0 - 15 min,,O1 Play from the Back,
49,50,1,862.6000640819893,889.4775018656562,O4 Finishing,1st Half,AaB,1v1,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,Established Play,O4 Finishing,True
50,51,1,865.7005821623225,871.5120947409896,O2 Build Up,1st Half,AaB,O1 to O2,Successful,Progress to Next Phase,0 - 15 min,,O2 Build Up,
51,52,1,881.964389055323,894.4075888756565,D1 Counterpress,1st Half,AaB,After O3/O4,Neutral,Establishing Pressing,0 - 15 min,,,
