,code_id,period_id,timestamp,end_timestamp,code,Half,00. Start Phase,02. Situation Type,03. Outcomes,04. Rating,01. Phase
0,1,1,0.0,2862.883574895641,KO,1st Half,,,,,
1,2,1,1.4287634593210043,11.601776057436922,O2 Build Up,,O2 Build Up,O2 Free Kick,Stay In Phase,Neutral,
2,3,1,9.968375099103469,36.83659526510334,O3 Break Through,,O3 Break Through,Long Throw,"Cross, Shot, Set-Piece or Box Entry",Successful,Throw In
3,4,1,15.001871015103404,26.0685246817703,O2 Build Up,,O2 Build Up,O2 Throw-In,Stay In Phase,Neutral,
4,5,1,17.602368182103476,40.770362140103515,O4 Finishing,,O4 Finishing,Chipball,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play
5,6,1,17.69916854099997,28.69916854099997,off throw,,,,,,
6,7,1,26.499817957999696,37.499817957999696,off throw,,,,,,
7,8,1,32.936595723436795,57.80289784843683,O4 Finishing,,O4 Finishing,Chipball,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play
8,9,1,39.36874734910356,52.16872664043663,O2 Build Up,,O2 Build Up,O3 to O2,Progress to O4,Successful,
9,10,1,44.80414368243666,75.1695569317701,O3 Break Through,,O3 Break Through,Short Throw-In,"Cross, Shot, Set-Piece or Box Entry",Successful,Throw In
10,11,1,55.93560659876994,79.13539834876991,O4 Finishing,,O4 Finishing,Pass Infront of Backline,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play
11,12,1,62.10046895800059,73.10046895800059,off throw,,,,,,
12,13,1,77.30314839043677,96.60270026577018,D3 High Pressing,,,After Ball Loss,Direct to O3/O4 OFF Transit,Successful,
13,14,1,77.86968809910348,109.20186230677012,O3 Break Through,,O3 Break Through,D3 High Press on Opp. Half,"Cross, Shot, Set-Piece or Box Entry",Successful,Transition
14,15,1,90.23555647376998,113.56944668210343,O4 Finishing,,O4 Finishing,Chipball,"Cross, Shot, Set-Piece or Box Entry",Neutral,Transition
15,16,1,104.93527734877017,117.03647843210331,D1 Counterpress,,,After O3/O4,"Intercept. -> Estab. (O1, O2, O3)",Successful,
16,17,1,115.97079964077005,125.70237447377025,O2 Build Up,,O2 Build Up,O2 After Regain,Ball Loss --> D3 Press,Unsuccessful,
17,18,1,125.23735251543673,138.63590359843687,D2 Finding Balance,,,After Ball Loss,Establishing Pressing,Neutral,
18,19,1,136.5373408067702,166.70330426576993,D3 Middle / Lower Pressing,,,After Ball Loss,Direct to O3/O4 OFF Transit,Successful,
19,20,1,149.5361968491037,172.43647480676992,O3 Break Through,,O3 Break Through,D3 Win Ball Low/Middle,Ball Loss --> D3 Press,Unsuccessful,Transition
20,21,1,170.90306168243694,177.603775890103,D3 Middle / Lower Pressing,,,After Ball Loss,"Intercept. -> Estab. (O1, O2, O3)",Successful,
21,22,1,175.50224430677002,230.17051622410332,O2 Build Up,,O2 Build Up,O2 After Regain,Ball Loss --> D3 Press,Unsuccessful,
22,23,1,223.2037823067704,239.03686059910342,D1 Counterpress,,,After O2 build-up,"Cross, Shot, Set-Piece or Box Entry",Unsuccessful,
23,24,1,224.16949047376977,243.63732647343676,D4 Defending the Box,,,Square Pass,"Cross, Shot, Set-Piece or Box Entry",Neutral,Transition
24,25,1,238.4035915157703,282.66972843177007,D4 Defending the Box,,,Front Area,Open Chance,Unsuccessful,Corner Kick
25,26,1,268.2717877657704,279.2717877657704,def corner,,,,,,
26,27,1,282.70416172343675,309.03669493210356,O1 Play from the Back,,O1 Play from the Back,O1 Goal Kick or Free Kick,Ball Loss --> D3 Press,Unsuccessful,
27,28,1,315.5710698067701,341.0037097651036,D3 Middle / Lower Pressing,,,D3 Press on Throw-In,"Cross, Shot, Set-Piece or Box Entry",Unsuccessful,
28,29,1,326.10492205743674,346.1384441404366,D4 Defending the Box,,,Chipball,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play
29,30,1,341.13703830743657,364.5376433484364,O3 Break Through,,O3 Break Through,D3 Win Ball Low/Middle,Ball Loss --> D3 Press,Unsuccessful,Transition
30,31,1,344.8039218074366,360.0393491821038,D3 Middle / Lower Pressing,,,D3 Press on Throw-In,Direct to O3/O4 OFF Transit,Successful,
31,32,1,362.87014209843665,371.406367932437,D3 High Pressing,,,After Ball Loss,"Intercept. -> Estab. (O1, O2, O3)",Successful,
32,33,1,369.43692634876993,400.7718192657701,O1 Play from the Back,,O1 Play from the Back,O1 After Regain,Progress to Next Phase,Successful,
33,34,1,398.1373242237697,410.37244151510345,D1 Counterpress,,,After O2 build-up,"Intercept. -> Estab. (O1, O2, O3)",Successful,
34,35,1,398.70420964076993,406.47035326543653,O2 Build Up,,O2 Build Up,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,
35,36,1,408.20499434910323,438.2053973901036,O2 Build Up,,O2 Build Up,O2 After Regain,Ball Loss --> D3 Press,Unsuccessful,
36,37,1,436.9712241407701,468.83899843176994,D3 High Pressing,,,After Ball Loss,"Intercept. -> Estab. (O1, O2, O3)",Successful,
37,38,1,467.1050528901035,478.4389602241032,O1 Play from the Back,,O1 Play from the Back,O1 After Regain,Stay In Phase,Neutral,
38,39,1,476.2048500154368,551.97239647377,O2 Build Up,,O2 Build Up,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,
39,40,1,543.7738675574367,556.1388838491036,D1 Counterpress,,,After O3/O4,"Intercept. -> Estab. (O1, O2, O3)",Successful,
40,41,1,554.4740870567698,567.8722456817701,O2 Build Up,,O2 Build Up,O2 After Regain,Ball Loss --> D3 Press,Unsuccessful,
41,42,1,559.1063368907697,571.9723743907703,D1 Counterpress,,,After O3/O4,"Intercept. -> Estab. (O1, O2, O3)",Successful,
42,43,1,570.6390291407702,601.9054207651031,O2 Build Up,,O2 Build Up,O2 After Regain,Ball Loss --> D3 Press,Unsuccessful,
43,44,1,592.8728832654368,610.8714945574364,D1 Counterpress,,,After O2 build-up,Establishing Pressing,Neutral,
44,45,1,611.0400554737699,645.7055281821034,D3 Middle / Lower Pressing,,,D3 Press on Throw-In,"Intercept. -> Estab. (O1, O2, O3)",Successful,
45,46,1,643.77330264077,657.8733798901038,O2 Build Up,,O2 Build Up,O2 After Regain,Stay In Phase,Neutral,
46,47,1,655.7065926817701,670.1737116401034,O1 Play from the Back,,O1 Play from the Back,O2 to O1,Stay In Phase,Neutral,
