,code_id,period_id,timestamp,end_timestamp,code,00. Start Phase,02. Situation Type,Half,03. Outcomes,04. Rating,Time Period,01. Phase,<flag>New Flag
0,1,1,0.0,10.099700084000517,O2 Build Up,O2 Build Up,O2 Free Kick,1st Half,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,,
1,2,1,0.8241656349174491,2766.619113481649,KO,,,1st Half,,,,,
2,3,1,8.899352708333481,15.165221334000279,D3 High Pressing,,D3 Press on Throw-In,1st Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,,
3,4,1,17.234116709000347,29.398125833666995,O2 Build Up,O2 Build Up,O2 Throw-In,1st Half,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,,
4,5,1,21.732393125333346,35.06518962533357,D1 Counterpress,,After O2 build-up,1st Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,,
5,6,1,34.09949595866661,69.4644680836669,O2 Build Up,O2 Build Up,O2 Throw-In,1st Half,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,,
6,7,1,68.13123166733362,117.73433237533345,D3 Middle / Lower Pressing,,D3 Press on Throw-In,1st Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,,
7,8,1,115.76685837566686,133.96343675033395,O2 Build Up,O2 Build Up,O2 After Regain,1st Half,Stay In Phase,Neutral,0 - 15 min,,
8,9,1,133.96581166700025,146.398760875,O2 Build Up,O2 Build Up,O2 Free Kick,1st Half,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,,
9,10,1,138.3988708756666,151.39938262533383,D1 Counterpress,,After O2 build-up,1st Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,,
10,11,1,152.36675379233367,164.7337585833336,D3 Middle / Lower Pressing,,After Ball Loss,1st Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,,
11,12,1,163.19961050066723,182.66720849999996,O2 Build Up,O2 Build Up,O2 Throw-In,1st Half,Progress to Next Phase,Successful,0 - 15 min,,
12,13,1,163.33291708333365,191.90098783366722,O3 Break Through,O3 Break Through,1v1 Wide / Halfspace,1st Half,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,Established Play,
13,14,1,183.20166437533368,203.00065850066653,D1 Counterpress,,After O3/O4,1st Half,"Cross, Shot, Set-Piece or Box Entry",Unsuccessful,0 - 15 min,,
14,15,1,188.79915691700035,208.69958187533393,D4 Defending the Box,,Through Pass,1st Half,Intercepted by Defence,Successful,0 - 15 min,Transition,
15,16,1,207.7672602500001,238.20080404200002,O2 Build Up,O2 Build Up,O2 After Regain,1st Half,Progress to Next Phase,Successful,0 - 15 min,,
16,17,1,219.2681075833337,245.9332410833336,O3 Break Through,O3 Break Through,Wide Link Up Play,1st Half,"Cross, Shot, Set-Piece or Box Entry",Successful,0 - 15 min,Established Play,
17,18,1,226.66673095900018,249.66670387566728,O4 Finishing,O4 Finishing,Cutback,1st Half,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Established Play,
18,19,1,261.16815291733354,274.66675250033336,D3 High Pressing,,D3 Goal Kick or Free Kick,1st Half,Stay In Phase,Neutral,0 - 15 min,,
19,20,1,274.9981476673335,293.50157537500036,D3 High Pressing,,D3 Press on Throw-In,1st Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,0 - 15 min,,
20,21,1,291.4000677500001,322.6021967503338,O2 Build Up,O2 Build Up,O2 After Regain,1st Half,Progress to Next Phase,Successful,0 - 15 min,,
21,22,1,303.50058337533335,329.8659882089999,O3 Break Through,O3 Break Through,Early Through Pass or Cross,1st Half,Ball Loss --> D3 Press,Unsuccessful,0 - 15 min,Established Play,
22,23,1,323.2689375840003,339.66536775066686,D2 Finding Balance,,Quick Restart,1st Half,Establishing Pressing,Neutral,0 - 15 min,,
23,24,1,333.70150804233356,361.83400395866676,O3 Break Through,O3 Break Through,D3 Win Ball Low/Middle,1st Half,"Cross, Shot, Set-Piece or Box Entry",Successful,0 - 15 min,Transition,
24,25,1,337.5001650423334,352.73351137566675,D3 Middle / Lower Pressing,,After Ball Loss,1st Half,Direct to O3/O4 OFF Transit,Successful,0 - 15 min,,
25,26,1,342.6014172923333,366.66647762500014,O4 Finishing,O4 Finishing,Through Pass,1st Half,Intercepted by Defence,Unsuccessful,0 - 15 min,Transition,
26,27,1,365.3334892083338,386.2693529590002,O2 Build Up,O2 Build Up,O2 Throw-In,1st Half,Progress to Next Phase,Successful,0 - 15 min,,
27,28,1,367.03376558400015,393.43418008333344,O3 Break Through,O3 Break Through,Early Through Pass or Cross,1st Half,"Cross, Shot, Set-Piece or Box Entry",Successful,0 - 15 min,Established Play,
28,29,1,374.3332954586669,397.66907333400025,O4 Finishing,O4 Finishing,Chipball,1st Half,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Established Play,
29,30,1,380.10262516700016,413.76589129200016,O3 Break Through,O3 Break Through,1v1 Wide / Halfspace,1st Half,"Cross, Shot, Set-Piece or Box Entry",Successful,0 - 15 min,Established Play,
30,31,1,394.8663412920001,419.26919408399993,O4 Finishing,O4 Finishing,Square Pass,1st Half,"Cross, Shot, Set-Piece or Box Entry",Neutral,0 - 15 min,Established Play,
31,32,1,418.4663554999999,448.76647779200044,O2 Build Up,O2 Build Up,O2 After Regain,1st Half,Stay In Phase,Neutral,0 - 15 min,,
32,33,1,452.8336363756667,475.9341336253338,O2 Build Up,O2 Build Up,O2 Throw-In,1st Half,Progress to Next Phase,Successful,0 - 15 min,,
33,34,1,457.00710846265923,484.5065004789795,O3 Break Through,O3 Break Through,Early Through Pass or Cross,1st Half,Lead to O4 chance,Successful,0 - 15 min,Established Play,True
