,code_id,period_id,timestamp,end_timestamp,code,00. Start Phase,02. Situation Type,Half,03. Outcomes,04. Rating,01. Phase,<flag>New Flag
0,1,1,0.0,28.899848584000097,O2 Build Up,O2 Build Up,O2 Free Kick,1st Half,Ball Loss --> D3 Press,Unsuccessful,,
1,2,1,0.17889076245648994,2732.5661679822565,KO,,,1st Half,,,,
2,3,1,20.29819791733351,36.76516879166712,D1 Counterpress,,After O2 build-up,1st Half,Establishing Pressing,Neutral,,
3,4,1,34.73082645866663,64.06516520833347,D3 High Pressing,,After Ball Loss,1st Half,Stay In Phase,Neutral,,
4,5,1,61.96581491666683,77.53261458366683,D3 Middle / Lower Pressing,,D3 From High to Med/Low,1st Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
5,6,1,78.76769587566696,104.19865708400027,O1 Play from the Back,O1 Play from the Back,O1 Goal Kick or Free Kick,1st Half,Progress to O3-O4,Successful,,
6,7,1,85.30114958366676,124.73430258366687,O3 Break Through,O3 Break Through,Central Play Infront of Backline,1st Half,"Cross, Shot, Set-Piece or Box Entry",Successful,Established Play,
7,8,1,105.4315763340004,128.70067633400015,O4 Finishing,O4 Finishing,Chipball,1st Half,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play,
8,9,1,143.76674820833398,157.0996257083334,D3 High Pressing,,D3 Press on Throw-In,1st Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
9,10,1,143.83130750066664,187.5979741250003,O4 Finishing,O4 Finishing,Back Area,1st Half,,,Corner Kick,
10,11,1,176.89814020866675,187.89814020866675,off corner,,Back Area,1st Half,"Cross, Shot, Set-Piece or Box Entry",Neutral,,True
11,12,1,185.1011614170003,201.7662773756669,D1 Counterpress,,After O3/O4,1st Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
12,13,1,199.53276620866671,239.76655458400052,O2 Build Up,O2 Build Up,O2 After Regain,1st Half,Ball Loss --> D3 Press,Unsuccessful,,
13,14,1,231.33523612533378,247.9343313753336,D1 Counterpress,,After O2 build-up,1st Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
14,15,1,246.06690366700002,269.76683920900047,O2 Build Up,O2 Build Up,O2 After Regain,1st Half,Progress to Next Phase,Successful,,
15,16,1,250.9336568753335,279.76666783333326,O3 Break Through,O3 Break Through,Central Play Infront of Backline,1st Half,Lead to O4 chance,Successful,Established Play,
16,17,1,260.73351383333386,284.66889141733384,O4 Finishing,O4 Finishing,Pass Infront of Backline,1st Half,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play,
17,18,1,282.93308654200007,305.0323948336665,D3 High Pressing,,D3 Goal Kick or Free Kick,1st Half,Stay In Phase,Neutral,,
18,19,1,296.63469970900036,315.1005910423338,D2 Finding Balance,,D3 High Press on Opp. Half,1st Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
19,20,1,313.4326633336667,321.0666572916671,O2 Build Up,O2 Build Up,O2 After Regain,1st Half,Ball Loss --> D3 Press,Unsuccessful,,
20,21,1,319.7334711670003,335.6011180003337,D3 High Pressing,,After Ball Loss,1st Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
21,22,1,334.10081670900024,359.26907554233344,O1 Play from the Back,O1 Play from the Back,O1 After Regain,1st Half,Progress to Next Phase,Successful,,
22,23,1,341.834687541667,368.700055583667,O3 Break Through,O3 Break Through,1v1 Wide / Halfspace,1st Half,Ball Loss --> D3 Press,Unsuccessful,Established Play,
23,24,1,370.1000766670005,409.9660403756668,O3 Break Through,O3 Break Through,D3 High Press on Opp. Half,1st Half,"Cross, Shot, Set-Piece or Box Entry",Successful,Transition,
24,25,1,370.7626860006668,388.63336812533373,D3 High Pressing,,D3 Goal Kick or Free Kick,1st Half,Direct to O3/O4 OFF Transit,Successful,,
25,26,1,390.7342269166671,417.7336761250001,O4 Finishing,O4 Finishing,Through Pass,1st Half,"Cross, Shot, Set-Piece or Box Entry",Neutral,Transition,
26,27,1,415.8361122086666,444.0006484170002,O2 Build Up,O2 Build Up,O2 Throw-In,1st Half,Ball Loss --> D3 Press,Unsuccessful,,
27,28,1,420.0014134166669,431.0014134166669,off throw,,,1st Half,,,,
28,29,1,443.7022974583334,460.2346248336669,D3 High Pressing,,After Ball Loss,1st Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
29,30,1,451.13617716700026,474.6008960006669,O3 Break Through,O3 Break Through,1v1 Wide / Halfspace,1st Half,"Cross, Shot, Set-Piece or Box Entry",Successful,Established Play,
30,31,1,455.30227616733384,479.5332622083333,O4 Finishing,O4 Finishing,Square Pass,1st Half,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play,
31,32,1,458.63441583400015,463.00208650033335,O1 Play from the Back,O1 Play from the Back,O1 After Regain,1st Half,Progress to Next Phase,Successful,,
32,33,1,461.26924612533355,470.3681033753338,O2 Build Up,O2 Build Up,O1 to O2,1st Half,Progress to Next Phase,Successful,,
33,34,1,470.9339238756669,483.10060670833354,D1 Counterpress,,After O3/O4,1st Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
34,35,1,481.90186908400017,487.6024671250003,O2 Build Up,O2 Build Up,O2 After Regain,1st Half,Ball Loss --> D3 Press,Unsuccessful,,
35,36,1,491.60098662500036,505.93414616700034,D3 High Pressing,,After Ball Loss,1st Half,"Intercept. -> Estab. (O1, O2, O3)",Successful,,
36,37,1,502.93522579200044,533.9368987503336,O3 Break Through,O3 Break Through,Early Through Pass or Cross,1st Half,"Cross, Shot, Set-Piece or Box Entry",Successful,Established Play,
37,38,1,503.6349468750003,521.1368806250005,O2 Build Up,O2 Build Up,O2 After Regain,1st Half,Progress to Next Phase,Successful,,
38,39,1,514.6016213340006,537.9361495420004,O4 Finishing,O4 Finishing,1v1,1st Half,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play,
39,40,1,529.4012775000003,566.3356367503334,O4 Finishing,O4 Finishing,Central Area,1st Half,,,Corner Kick,
40,41,1,558.4998126250003,569.4998126250003,off corner,,Central Area,1st Half,Intercepted by Defence,Unsuccessful,,
41,42,1,595.3002602506667,618.8372217500003,D3 High Pressing,,D3 Goal Kick or Free Kick,1st Half,Direct to O3/O4 OFF Transit,Successful,,
42,43,1,599.9036397500004,625.3039467506668,O3 Break Through,O3 Break Through,D3 High Press on Opp. Half,1st Half,Ball Loss --> D3 Press,Unsuccessful,Transition,
