,code_id,period_id,timestamp,end_timestamp,code,Half,00. Start Phase,02. Situation Type,04. Rating,03. Outcomes,Time Period,<flag>New Flag,01. Phase
0,1,1,0.0,2836.6921499268888,KO,1st Half,,,,,,,
1,2,1,4.414934581743182,18.048590498409908,O2 Build Up,1st Half,O2 Build Up,O2 Free Kick,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,,
2,3,1,9.44592949907667,23.249550456742895,D1 Counterpress,1st Half,,After O2 build-up,Neutral,Establishing Pressing,0 - 15 min,,
3,4,1,21.31574699874352,31.94824149907629,D3 Middle / Lower Pressing,1st Half,,After Ball Loss,Neutral,Stay In Phase,0 - 15 min,,
4,5,1,29.782230748409347,44.51531991540958,D3 Middle / Lower Pressing,1st Half,,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,
5,6,1,35.83063617349903,64.85413333333332,Ndividual,,,,,,,True,
6,7,1,42.14766812374285,54.98198712340957,O1 Play from the Back,1st Half,O1 Play from the Back,O1 After Regain,Neutral,Stay In Phase,0 - 15 min,,
7,8,1,80.98314420740985,116.18355799907602,O3 Break Through,1st Half,O3 Break Through,1v1 Wide / Halfspace,Successful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,True,Established Play
8,9,1,82.19924316540948,92.55105954074327,O2 Build Up,1st Half,O2 Build Up,O2 Free Kick,Neutral,Stay In Phase,0 - 15 min,,
9,10,1,90.11595287407658,97.71425974907606,O1 Play from the Back,1st Half,O1 Play from the Back,O2 to O1,Successful,Progress to Next Phase,0 - 15 min,,
10,11,1,95.3176517490765,100.28454558207613,O2 Build Up,1st Half,O2 Build Up,O1 to O2,Successful,Progress to Next Phase,0 - 15 min,,
11,12,1,96.88149133240938,120.21605820740967,O4 Finishing,1st Half,O4 Finishing,Through Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,,Established Play
12,13,1,119.19449100033236,149.7941306670001,O4 Finishing,1st Half,O4 Finishing,Front Area,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,,Corner Kick
13,14,1,143.5168264154098,154.5168264154098,off corner,1st Half,,,,,,,
14,15,1,145.39924379200045,170.69927441633354,D2 Finding Balance,1st Half,,After Ball Loss,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,,
15,16,1,155.99945666600013,176.6995540819986,D4 Defending the Box,1st Half,,Square Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,,Transition
16,17,1,186.49980533299916,216.09954508199854,D4 Defending the Box,1st Half,,Central Area,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,,Corner Kick
17,18,1,198.97357808207641,221.75062212374326,D4 Defending the Box,1st Half,,Central Area,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,,Corner Kick
18,19,1,202.7966748323323,213.7966748323323,off corner,1st Half,,,,,,,
19,20,1,213.20006629033338,236.70007398599913,D4 Defending the Box,1st Half,,Square Pass,Unsuccessful,Open Chance,0 - 15 min,,Transition
20,21,1,217.9004896243339,235.451,O1 Play from the Back,1st Half,O1 Play from the Back,O1 Goal Kick or Free Kick,Unsuccessful,Ball Loss --> D4 Defend The Box,0 - 15 min,,
21,22,1,265.1941846943339,295.3998063606672,D4 Defending the Box,1st Half,,Front Area,Unsuccessful,Chance,0 - 15 min,,Corner Kick
22,23,1,280.499339861,291.499339861,def corner,1st Half,,,,,,,
23,24,1,301.70024474866625,355.4000215406651,D4 Defending the Box,1st Half,,Front Area,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,,Corner Kick
24,25,1,330.2158593320761,341.2158593320761,def corner,1st Half,,,,,,,
25,26,1,331.09966658299805,342.09966658299805,def corner,1st Half,,,,,,,
26,27,1,360.6995706669986,392.0000775416662,D4 Defending the Box,1st Half,,Front Area,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,,Corner Kick
27,28,1,379.0993404993335,390.0993404993335,def corner,1st Half,,,,,,,
28,29,1,388.0000310829991,420.39928649966714,D4 Defending the Box,1st Half,,Front Area,Successful,Intercepted by Defence,0 - 15 min,,Corner Kick
29,30,1,405.49940883366514,416.49940883366514,def corner,1st Half,,,,,,,
30,31,1,410.98456437407606,421.98456437407606,def corner,1st Half,,,,,,,
31,32,1,428.8000311249981,455.00014204166627,O1 Play from the Back,1st Half,O1 Play from the Back,O1 Goal Kick or Free Kick,Successful,Progress to Next Phase,0 - 15 min,,
32,33,1,452.79987195833394,486.8000233743317,O2 Build Up,1st Half,O2 Build Up,O1 to O2,Unsuccessful,Ball Loss --> D4 Defend The Box,0 - 15 min,,
33,34,1,458.9001364996669,488.49981683266543,D4 Defending the Box,1st Half,,Pass Infront of Backline,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,,Transition
34,35,1,487.19957883333325,515.8001488743332,D3 Middle / Lower Pressing,1st Half,,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,
35,36,1,536.5994608753336,564.5989662083324,O3 Break Through,1st Half,O3 Break Through,4v4 or Less On Half Pitch,Successful,Lead to O4 chance,0 - 15 min,,Established Play
36,37,1,541.0996521249994,555.3994997499993,O2 Build Up,1st Half,O2 Build Up,O2 Free Kick,Successful,Progress to Next Phase,0 - 15 min,,
37,38,1,545.3995950423332,568.4994680419994,O4 Finishing,1st Half,O4 Finishing,1v1,Neutral,"Cross, Shot, Set-Piece or Box Entry",0 - 15 min,,Established Play
38,39,1,570.9994634159983,585.4992619573328,D3 High Pressing,1st Half,,After Ball Loss,Neutral,Stay In Phase,0 - 15 min,,
39,40,1,584.000047499999,602.3002114159984,D3 Middle / Lower Pressing,1st Half,,D3 From High to Med/Low,Successful,"Intercept. -> Estab. (O1, O2, O3)",0 - 15 min,,
40,41,1,602.4989974586656,625.2004064996655,O1 Play from the Back,1st Half,O1 Play from the Back,O1 Throw-In,Unsuccessful,Ball Loss --> D3 Press,0 - 15 min,,
41,42,1,624.5997681659981,650.9002304583337,D3 Middle / Lower Pressing,1st Half,,D3 Press on Throw-In,Neutral,Stay In Phase,0 - 15 min,,
42,43,1,653.3992503329994,669.6002947909979,D3 Middle / Lower Pressing,1st Half,,D3 Press on Throw-In,Neutral,Stay In Phase,0 - 15 min,,
