,code_id,period_id,timestamp,end_timestamp,code,Half,00. Start Phase,02. Situation Type,03. Outcomes,04. Rating,01. Phase
0,1,1,0.0,2479.527571606337,KO,1st Half,,,,,
1,2,1,0.0,2763.1543495489846,KO,,,,,,
2,3,1,0.20519389733706817,14.606030022337109,O2 Build Up,1st Half,O2 Build Up,O2 Free Kick,Ball Loss --> D3 Press,Unsuccessful,
3,4,1,13.166083605670451,26.324194939003775,D3 High Pressing,1st Half,,After Ball Loss,"Intercept. -> Estab. (O1, O2, O3)",Successful,
4,5,1,25.403326772337067,46.56681264733709,O2 Build Up,1st Half,O2 Build Up,O2 Throw-In,Ball Loss --> D3 Press,Unsuccessful,
5,6,1,38.406030897337104,50.08273848100376,D1 Counterpress,1st Half,,After O2 build-up,"Intercept. -> Estab. (O1, O2, O3)",Successful,
6,7,1,46.245235314670424,87.24469748067037,O2 Build Up,1st Half,O2 Build Up,O2 Throw-In,Ball Loss --> D3 Press,Unsuccessful,
7,8,1,82.24215706433705,108.16601952300374,O3 Break Through,1st Half,O3 Break Through,Quick Restart,Keep The Ball,Neutral,Throw In
8,9,1,86.48626289800376,96.56492752233703,D3 High Pressing,1st Half,,After Ball Loss,"Intercept. -> Estab. (O1, O2, O3)",Successful,
9,10,1,104.08623618933709,117.16606985600373,O2 Build Up,1st Half,O2 Build Up,O3 to O2,Ball Loss --> D3 Press,Unsuccessful,
10,11,1,109.24628693967043,127.2458223976704,D1 Counterpress,1st Half,,After O2 build-up,Establishing Pressing,Neutral,
11,12,1,118.16343198133706,137.32589398133706,D2 Finding Balance,1st Half,,After Ball Loss,"Intercept. -> Estab. (O1, O2, O3)",Successful,
12,13,1,134.0863763140037,169.6061803976704,O2 Build Up,1st Half,O2 Build Up,O2 Throw-In,Progress to Next Phase,Successful,
13,14,1,150.60416335600377,182.9267505230037,O3 Break Through,1st Half,O3 Break Through,Wide Link Up Play,Keep The Ball,Neutral,Established Play
14,15,1,173.32592281467038,200.1641503146704,O3 Break Through,1st Half,O3 Break Through,Central Play Infront of Backline,Keep The Ball,Neutral,Established Play
15,16,1,178.84262831467038,192.4844839806704,O2 Build Up,1st Half,O2 Build Up,O3 to O2,Progress to Next Phase,Successful,
16,17,1,195.8853698140037,225.4461401893371,O3 Break Through,1st Half,O3 Break Through,Early Through Pass or Cross,"Cross, Shot, Set-Piece or Box Entry",Successful,Established Play
17,18,1,196.64393873133702,214.96663164733712,O2 Build Up,1st Half,O2 Build Up,O3 to O2,Progress to Next Phase,Successful,
18,19,1,206.2028833556704,234.04504268933704,O4 Finishing,1st Half,O4 Finishing,Pass Infront of Backline,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play
19,20,1,233.2863940646704,255.7259916480038,D3 High Pressing,1st Half,,D3 Goal Kick or Free Kick,"Intercept. -> Estab. (O1, O2, O3)",Successful,
20,21,1,263.0463285646705,293.36644777233704,O2 Build Up,1st Half,O2 Build Up,O2 Throw-In,Ball Loss --> D3 Press,Unsuccessful,
21,22,1,295.52670193900383,326.40417739800375,D3 Middle / Lower Pressing,1st Half,,After Ball Loss,Direct to O3/O4 OFF Transit,Successful,
22,23,1,308.48478010633704,331.48540727267044,O3 Break Through,1st Half,O3 Break Through,D3 Win Ball Low/Middle,Ball Loss --> D3 Press,Unsuccessful,Transition
23,24,1,329.7664871480037,345.565944022337,D3 Middle / Lower Pressing,1st Half,,After Ball Loss,Stay In Phase,Neutral,
24,25,1,343.76609152267037,361.6460273140037,D3 Middle / Lower Pressing,1st Half,,After Ball Loss,D4 Chance,Unsuccessful,
25,26,1,344.5236596063371,365.4848640230037,D4 Defending the Box,1st Half,,Chipball,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play
26,27,1,364.2843132310037,407.723406272337,O1 Play from the Back,1st Half,O1 Play from the Back,O1 After Regain,Progress to Next Phase,Successful,
27,28,1,403.52629856467036,433.4059486060037,O2 Build Up,1st Half,O2 Build Up,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,
28,29,1,424.3230420643371,436.16574127300373,D1 Counterpress,1st Half,,After O2 build-up,"Intercept. -> Estab. (O1, O2, O3)",Successful,
29,30,1,432.84569727267035,453.72609627267025,O2 Build Up,1st Half,O2 Build Up,O2 Free Kick,Ball Loss --> D3 Press,Unsuccessful,
30,31,1,453.0069704390038,480.44615923100366,O3 Break Through,1st Half,O3 Break Through,D3 High Press on Opp. Half,"Cross, Shot, Set-Piece or Box Entry",Successful,Transition
31,32,1,454.64380385600373,471.40238523067035,D3 High Pressing,1st Half,,D3 Press on Throw-In,Direct to O3/O4 OFF Transit,Successful,
32,33,1,461.7262531060036,484.0462321896704,O4 Finishing,1st Half,O4 Finishing,Chipball,"Cross, Shot, Set-Piece or Box Entry",Neutral,Transition
33,34,1,475.1262844810037,498.2842821893371,O4 Finishing,1st Half,O4 Finishing,Chipball,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play
34,35,1,481.28616823067046,494.52585793933713,O2 Build Up,1st Half,O2 Build Up,O2 After Regain,Progress to O4,Successful,
35,36,1,494.28305931467037,550.2460724393371,O2 Build Up,1st Half,O2 Build Up,O3 to O2,Ball Loss --> D3 Press,Unsuccessful,
36,37,1,550.4045761480037,577.4862595223369,D3 High Pressing,1st Half,,After Ball Loss,Stay In Phase,Neutral,
37,38,1,579.484725064337,596.4461274806704,D3 Middle / Lower Pressing,1st Half,,D3 Goal Kick or Free Kick,Stay In Phase,Neutral,
38,39,1,589.1262268980038,611.8827399393372,O3 Break Through,1st Half,O3 Break Through,D3 High Press on Opp. Half,Ball Loss --> D3 Press,Unsuccessful,Transition
39,40,1,594.286065481337,608.2866633146704,D3 High Pressing,1st Half,,D3 From Low/Med to High,Direct to O3/O4 OFF Transit,Successful,
40,41,1,622.8033575226705,644.8012138563371,D3 High Pressing,1st Half,,D3 Goal Kick or Free Kick,Stay In Phase,Neutral,
41,42,1,643.606248981337,665.446061647337,D3 Middle / Lower Pressing,1st Half,,D3 Press on Throw-In,Direct to O3/O4 OFF Transit,Successful,
42,43,1,646.3643636060036,674.886811522337,O3 Break Through,1st Half,O3 Break Through,D3 Win Ball Low/Middle,Lead to O4 chance,Successful,Transition
43,44,1,655.7059700226704,680.5651064806704,O4 Finishing,1st Half,O4 Finishing,Through Pass,Open Chance,Successful,Transition
44,45,1,662.3250606473371,685.3250606473371,Goal FCN,1st Half,,,,,
45,46,1,737.6462999396705,763.4852656476703,D3 Middle / Lower Pressing,1st Half,,D3 Goal Kick or Free Kick,Stay In Phase,Neutral,
46,47,1,753.3255703143369,779.3181239393369,O3 Break Through,1st Half,O3 Break Through,D3 High Press on Opp. Half,Ball Loss --> D3 Press,Unsuccessful,Transition
47,48,1,761.3266541480037,772.4862580643369,D3 High Pressing,1st Half,,D3 From Low/Med to High,Direct to O3/O4 OFF Transit,Successful,
