,code_id,period_id,timestamp,end_timestamp,code,Half,02. Situation Type,04. Rating,03. Outcomes,00. Start Phase,01. Phase
0,1,1,0.0,2907.305589298136,KO,1st Half,,,,,
1,2,1,4.364023923488276,18.487440428395985,D3 Middle / Lower Pressing,1st Half,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",,
2,3,1,16.621300386062103,36.42126738639536,O1 Play from the Back,1st Half,O1 After Regain,Unsuccessful,Ball Loss --> D3 Press,O1 Play from the Back,
3,4,1,35.7884429283954,44.388274386062676,D3 Middle / Lower Pressing,1st Half,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",,
4,5,1,35.823498636062595,55.65693080306255,D4 Defending the Box,1st Half,1v1,Neutral,"Cross, Shot, Set-Piece or Box Entry",,Transition
5,6,1,42.1544928860626,50.7883007610626,O1 Play from the Back,1st Half,O1 After Regain,Unsuccessful,Ball Loss --> D4 Defend The Box,O1 Play from the Back,
6,7,1,53.38858646939525,73.22054821939537,D4 Defending the Box,1st Half,Cutback,Neutral,"Cross, Shot, Set-Piece or Box Entry",,Established Play
7,8,1,54.12171134439495,68.15476642772865,D3 Middle / Lower Pressing,1st Half,After Ball Loss,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",,
8,9,1,123.15560447006237,132.18917659506178,O2 Build Up,1st Half,O2 Throw-In,Unsuccessful,Ball Loss --> D3 Press,O2 Build Up,
9,10,1,131.32168746972866,152.18967542772953,D3 Middle / Lower Pressing,1st Half,After Ball Loss,Successful,Direct to O3/O4 OFF Transit,,
10,11,1,133.15479976139568,158.35475705272893,O3 Break Through,1st Half,D3 Win Ball Low/Middle,Neutral,Keep The Ball,O3 Break Through,Transition
11,12,1,156.4889565950616,187.79138780339554,O2 Build Up,1st Half,O3 to O2,Unsuccessful,Ball Loss --> D3 Press,O2 Build Up,
12,13,1,180.02470688639505,197.89155159439588,D1 Counterpress,1st Half,After O3/O4,Successful,Direct to O3/O4 OFF Transit,,
13,14,1,181.92461959506227,204.92461959506227,Offside review,1st Half,,,,O4 Finishing,Transition
14,15,1,184.19012471972883,207.3240802617288,O4 Finishing,1st Half,Through Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",O4 Finishing,Transition
15,16,1,275.99015471972825,282.3884950947281,D3 Middle / Lower Pressing,1st Half,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",,
16,17,1,280.42298151139585,290.5898672613953,O1 Play from the Back,1st Half,O1 After Regain,Unsuccessful,Ball Loss --> D3 Press,O1 Play from the Back,
17,18,1,282.45596234506274,297.0563677197283,D1 Counterpress,1st Half,After O2 build-up,Neutral,Establishing Pressing,,
18,19,1,301.95778955339574,324.6909640533959,D3 Middle / Lower Pressing,1st Half,D3 Press on Throw-In,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",,
19,20,1,309.4577010527282,328.557348261063,D4 Defending the Box,1st Half,Through Pass,Successful,Intercepted by Defence,,Established Play
