Timeline,Start time,Duration,code,Instance number,00. Start Phase,01. Phase,02. Situation Type,03. Outcomes,04. Rating,Half,Opponent,Time Period,Ungrouped,Notes,Flags
26. VFF-FCN (1-0),100.7020422,30.83269621,O1 Play from the Back,1,O1 Play from the Back,,O1 Goal Kick or Free Kick,Stay In Phase,Neutral,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),229.8683617,24.09958354,O1 Play from the Back,2,O1 Play from the Back,,O2 to O1,Progress to Next Phase,Successful,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),360.7692876,20.13392258,O1 Play from the Back,3,O1 Play from the Back,,O1 After Regain,Progress to Next Phase,Successful,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),521.1713936,25.03405229,O1 Play from the Back,4,O1 Play from the Back,,O1 Goal Kick or Free Kick,Ball Loss --> D3 Press,Unsuccessful,1st Half,,0 - 15 min,,O1. erik spil jaxe..,New Flag
26. VFF-FCN (1-0),640.5391448,10.36582075,O1 Play from the Back,5,O1 Play from the Back,,O1 Goal Kick or Free Kick,Progress to Next Phase,Successful,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),893.4072258,4.665763916,O1 Play from the Back,6,O1 Play from the Back,,O1 After Regain,Stay In Phase,Neutral,1st Half,,0 - 15 min,,,
26. VFF-FCN (1-0),985.407293,5.033945792,O1 Play from the Back,7,O1 Play from the Back,,O1 After Regain,Stay In Phase,Neutral,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1051.542696,22.1643525,O1 Play from the Back,8,O1 Play from the Back,,O1 Throw-In,Ball Loss --> D3 Press,Unsuccessful,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1101.373184,15.93451996,O1 Play from the Back,9,O1 Play from the Back,,O2 to O1,Progress to Next Phase,Successful,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1250.908665,5.755985875,O1 Play from the Back,10,O1 Play from the Back,,O1 After Regain,Stay In Phase,Neutral,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1414.576746,24.03588171,O1 Play from the Back,11,O1 Play from the Back,,O1 After Regain,Stay In Phase,Neutral,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1663.946108,43.50174137,O1 Play from the Back,12,O1 Play from the Back,,O1 After Regain,Stay In Phase,Neutral,1st Half,,16 - 30 min,,,
26. VFF-FCN (1-0),1914.949267,36.66437429,O1 Play from the Back,13,O1 Play from the Back,,O1 Goal Kick or Free Kick,Progress to O3-O4,Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2034.949742,21.73225054,O1 Play from the Back,14,O1 Play from the Back,,O1 Goal Kick or Free Kick,Progress to Next Phase,Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2222.984403,27.66508454,O1 Play from the Back,15,O1 Play from the Back,,O1 After Regain,Progress to Next Phase,Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2322.218175,15.56761779,O1 Play from the Back,16,O1 Play from the Back,,O1 Throw-In,Stay In Phase,Neutral,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2352.650227,13.76671767,O1 Play from the Back,17,O1 Play from the Back,,O2 to O1,Progress to Next Phase,Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2519.084812,27.06639375,O1 Play from the Back,18,O1 Play from the Back,,O1 Goal Kick or Free Kick,Stay In Phase,Neutral,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2551.918689,8.500505416,O1 Play from the Back,19,O1 Play from the Back,,O2 to O1,Progress to Next Phase,Successful,1st Half,,31 - 45 min,,,
26. VFF-FCN (1-0),2822.6315,6.534584208,O1 Play from the Back,20,O1 Play from the Back,,O1 After Regain,Ball Loss --> D3 Press,Unsuccessful,2nd Half,,46 - 60 min,,,
26. VFF-FCN (1-0),2919.232994,7.834012458,O1 Play from the Back,21,O1 Play from the Back,,O1 After Regain,Stay In Phase,Neutral,2nd Half,,46 - 60 min,,,
