,code_id,period_id,timestamp,end_timestamp,code,00. Start Phase,Half,02. Situation Type,03. Outcomes,04. Rating,01. Phase
0,1,1,0.0,2822.6136462555683,KO,O2 Build Up,1st Half,,,,
1,2,1,0.8609331066617472,50.76611162496587,O2 Build Up,O2 Build Up,1st Half,O2 Free Kick,Stay In Phase,Neutral,
2,3,1,39.23088812463274,74.49535933363279,O3 Break Through,O3 Break Through,1st Half,Wide Link Up Play,Keep The Ball,Neutral,Established Play
3,4,1,48.46384633363289,58.06414999996636,O1 Play from the Back,O1 Play from the Back,1st Half,O2 to O1,Progress to O3-O4,Successful,
4,5,1,60.064004999633,86.26407095829953,O3 Break Through,O3 Break Through,1st Half,1v1 Wide / Halfspace,Ball Loss --> D3 Press,Unsuccessful,Established Play
5,6,1,65.49740233363283,78.53293325029958,D1 Counterpress,,1st Half,After O3/O4,"Intercept. -> Estab. (O1, O2, O3)",Successful,
6,7,1,84.23198075029964,96.52806812529946,D3 High Pressing,,1st Half,After Ball Loss,Stay In Phase,Neutral,
7,8,1,87.56439708296625,99.73029904163286,D2 Finding Balance,,1st Half,D3 High Press on Opp. Half,Establishing Pressing,Neutral,
8,9,1,111.49719824963273,140.63203658329954,D3 Middle / Lower Pressing,,1st Half,D3 Press on Throw-In,Stay In Phase,Neutral,
9,10,1,138.46624979196625,146.39840966663272,D3 High Pressing,,1st Half,D3 From Low/Med to High,Stay In Phase,Neutral,
10,11,1,144.5646773329661,182.2316760002996,D3 Middle / Lower Pressing,,1st Half,D3 From High to Med/Low,"Cross, Shot, Set-Piece or Box Entry",Unsuccessful,
11,12,1,215.89061587496624,255.43054229129964,O4 Finishing,O4 Finishing,1st Half,"Middle 20,5 - 23 m","Cross, Shot, Set-Piece or Box Entry",Neutral,Direct Free Kick
12,13,1,238.7325361249663,249.7325361249663,def free kick,,1st Half,,,,Direct Free Kick
13,14,1,253.465181791966,273.5316621662994,O1 Play from the Back,O1 Play from the Back,1st Half,O1 Goal Kick or Free Kick,Progress to Next Phase,Successful,
14,15,1,283.868019624966,319.09922045829967,O2 Build Up,O2 Build Up,1st Half,O2 Throw-In,Ball Loss --> D3 Press,Unsuccessful,
15,16,1,310.90093695796565,327.30124229129945,D1 Counterpress,,1st Half,After O2 build-up,Establishing Pressing,Neutral,
