,code_id,period_id,timestamp,end_timestamp,code,00. Start Phase,Half,02. Situation Type,04. Rating,03. Outcomes,01. Phase
0,1,1,0.0,2980.4274326440236,KO,O2 Build Up,1st Half,,,,
1,2,1,1.0369113354490622,19.724670366459904,O2 Build Up,O2 Build Up,1st Half,O2 Free Kick,Neutral,Stay In Phase,
2,3,1,15.425702533126824,40.224470449460014,O1 Play from the Back,O1 Play from the Back,1st Half,O2 to O1,Successful,Progress to O3-O4,
3,4,1,21.826439949793425,45.22537186646021,O3 Break Through,O3 Break Through,1st Half,Central Play Infront of Backline,Neutral,Keep The Ball,Established Play
4,5,1,41.259736325126696,57.726494908126696,O2 Build Up,O2 Build Up,1st Half,O3 to O2,Neutral,Stay In Phase,
5,6,1,62.556983991126785,82.49298357445987,O2 Build Up,O2 Build Up,1st Half,O2 Free Kick,Neutral,Stay In Phase,
6,7,1,78.62581465812666,91.95851040845984,O1 Play from the Back,O1 Play from the Back,1st Half,O2 to O1,Unsuccessful,Ball Loss --> D3 Press,
7,8,1,92.49336757512641,103.7590414911265,D3 Middle / Lower Pressing,,1st Half,D3 Press on Throw-In,Neutral,Stay In Phase,
8,9,1,99.5926215331268,112.49194811645977,D3 High Pressing,,1st Half,D3 From Low/Med to High,Successful,"Intercept. -> Estab. (O1, O2, O3)",
9,10,1,109.2258924914601,121.6919781164601,O1 Play from the Back,O1 Play from the Back,1st Half,O1 After Regain,Successful,Progress to Next Phase,
10,11,1,117.66106882512666,125.42420928279329,O2 Build Up,O2 Build Up,1st Half,O1 to O2,Neutral,Stay In Phase,
11,12,1,121.12707624145999,134.39119732445977,O1 Play from the Back,O1 Play from the Back,1st Half,O2 to O1,Unsuccessful,Ball Loss --> D3 Press,
12,13,1,131.06080895012667,142.66068986612652,D3 Middle / Lower Pressing,,1st Half,After Ball Loss,Neutral,Stay In Phase,
13,14,1,138.62548178346003,160.89342182512655,D3 High Pressing,,1st Half,D3 From Low/Med to High,Successful,Direct to O3/O4 OFF Transit,
14,15,1,142.55824236612648,166.19331419979335,O3 Break Through,O3 Break Through,1st Half,D3 High Press on Opp. Half,Unsuccessful,Ball Loss --> D3 Press,Transition
15,16,1,173.96156632512657,200.49332440846013,O3 Break Through,O3 Break Through,1st Half,D3 High Press on Opp. Half,Unsuccessful,Ball Loss --> D3 Press,Transition
16,17,1,176.95881224112657,192.85767844946025,D3 High Pressing,,1st Half,D3 Goal Kick or Free Kick,Successful,Direct to O3/O4 OFF Transit,
17,18,1,191.72657328279354,204.66036728346023,D1 Counterpress,,1st Half,After O3/O4,Neutral,Establishing Pressing,
18,19,1,202.8615735744599,218.49368294979303,D3 High Pressing,,1st Half,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",
19,20,1,214.8616675334601,250.39303974145992,O2 Build Up,O2 Build Up,1st Half,O2 After Regain,Unsuccessful,Ball Loss --> D3 Press,
20,21,1,241.29316603345984,252.6935943664596,D1 Counterpress,,1st Half,After O2 build-up,Successful,"Intercept. -> Estab. (O1, O2, O3)",
21,22,1,250.0287001581267,274.26041265845987,O3 Break Through,O3 Break Through,1st Half,Short Throw-In,Neutral,Keep The Ball,Throw In
22,23,1,264.76034032479316,289.82899803279327,O3 Break Through,O3 Break Through,1st Half,Long Throw,Successful,"Cross, Shot, Set-Piece or Box Entry",Throw In
23,24,1,270.72741615812635,293.660564116793,O4 Finishing,O4 Finishing,1st Half,Long Throw,Neutral,"Cross, Shot, Set-Piece or Box Entry",Throw In
24,25,1,292.2601221584602,337.76083849179327,D3 High Pressing,,1st Half,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",
25,26,1,328.59132140812676,379.9630456997933,O4 Finishing,O4 Finishing,1st Half,Short Variation,Neutral,"Cross, Shot, Set-Piece or Box Entry",Corner Kick
26,27,1,360.2944856164599,377.2944856164599,off corner,,1st Half,,,,
27,28,1,382.59451394945995,401.99525999145993,D3 High Pressing,,1st Half,After Ball Loss,Successful,Direct to O3/O4 OFF Transit,
28,29,1,383.3596113247931,406.1613943247932,O3 Break Through,O3 Break Through,1st Half,D3 High Press on Opp. Half,Unsuccessful,Ball Loss --> D3 Press,Transition
29,30,1,410.52784969979285,428.6622048664602,D3 High Pressing,,1st Half,D3 Press on Throw-In,Successful,"Intercept. -> Estab. (O1, O2, O3)",
30,31,1,427.3279764497933,473.5950652414596,O4 Finishing,O4 Finishing,1st Half,Back Area,Neutral,"Cross, Shot, Set-Piece or Box Entry",Lateral Free Kick
31,32,1,450.59516495012696,467.59516495012696,off free kick,,1st Half,,,,
32,33,1,486.02962545012696,507.3955016167933,D3 High Pressing,,1st Half,D3 Goal Kick or Free Kick,Neutral,Stay In Phase,
33,34,1,503.43086086679335,520.4633606161267,D3 Middle / Lower Pressing,,1st Half,D3 From High to Med/Low,Neutral,Stay In Phase,
34,35,1,518.5956525334599,540.5954897414598,D3 Middle / Lower Pressing,,1st Half,D3 Press on Throw-In,Successful,"Intercept. -> Estab. (O1, O2, O3)",
35,36,1,551.0312826164601,570.662317283127,O1 Play from the Back,O1 Play from the Back,1st Half,O1 Goal Kick or Free Kick,Unsuccessful,Ball Loss --> D3 Press,
36,37,1,569.4301252411269,579.6293472827934,D3 Middle / Lower Pressing,,1st Half,After Ball Loss,Neutral,Stay In Phase,
37,38,1,575.7313644084597,587.3960610751267,D3 High Pressing,,1st Half,D3 From Low/Med to High,Successful,"Intercept. -> Estab. (O1, O2, O3)",
38,39,1,583.7956086997934,608.3627347831267,O1 Play from the Back,O1 Play from the Back,1st Half,O1 After Regain,Successful,Progress to O3-O4,
39,40,1,589.3626328247931,619.06488624146,O3 Break Through,O3 Break Through,1st Half,Central Play Infront of Backline,Successful,"Cross, Shot, Set-Piece or Box Entry",Established Play
40,41,1,619.1319116577936,642.6987688244596,O2 Build Up,O2 Build Up,1st Half,O2 Free Kick,Unsuccessful,Ball Loss --> D3 Press,
41,42,1,634.6973345331264,657.8299712827932,D1 Counterpress,,1st Half,After O2 build-up,Successful,"Intercept. -> Estab. (O1, O2, O3)",
42,43,1,655.6643280327932,681.6967876994602,O1 Play from the Back,O1 Play from the Back,1st Half,O1 Goal Kick or Free Kick,Neutral,Stay In Phase,
43,44,1,685.5962798247931,705.0302339911265,O2 Build Up,O2 Build Up,1st Half,O2 Free Kick,Unsuccessful,Ball Loss --> D3 Press,
44,45,1,703.4301651994597,722.0633962834598,D3 Middle / Lower Pressing,,1st Half,D3 Press on Throw-In,Neutral,Stay In Phase,
45,46,1,717.8979646164601,732.3307271581266,D3 High Pressing,,1st Half,D3 From Low/Med to High,Successful,Direct to O3/O4 OFF Transit,
46,47,1,720.9303172417934,745.26477228346,O3 Break Through,O3 Break Through,1st Half,D3 High Press on Opp. Half,Successful,"Cross, Shot, Set-Piece or Box Entry",Transition
47,48,1,726.0992955751266,748.9303388667935,O4 Finishing,O4 Finishing,1st Half,Square Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",Transition
48,49,1,745.3321571581267,772.5308254911266,D3 High Pressing,,1st Half,After Ball Loss,Neutral,Stay In Phase,
49,50,1,761.8657857831269,792.6652930751267,O3 Break Through,O3 Break Through,1st Half,Transition After CP,Successful,"Cross, Shot, Set-Piece or Box Entry",Transition
50,51,1,765.7989540751269,780.3308523244597,D2 Finding Balance,,1st Half,D3 High Press on Opp. Half,Successful,Direct to O3/O4 OFF Transit,
51,52,1,773.6645505744601,795.8664918664598,O4 Finishing,O4 Finishing,1st Half,Square Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",Transition
52,53,1,796.8667349494599,850.1003677001263,O4 Finishing,O4 Finishing,1st Half,Central Area,Successful,Open Chance,Corner Kick
53,54,1,818.0315645751268,835.0315645751268,off corner,,1st Half,,,,
54,55,1,848.5979079501267,871.8652000751264,D3 High Pressing,,1st Half,After Ball Loss,Neutral,Stay In Phase,
55,56,1,866.8339466994597,885.9339684917933,D4 Defending the Box,,1st Half,Pass Infront of Backline,Neutral,"Cross, Shot, Set-Piece or Box Entry",Established Play
56,57,1,868.2327708251264,881.9322340751263,D3 Middle / Lower Pressing,,1st Half,D3 From High to Med/Low,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
57,58,1,884.36496740846,919.0650287834601,O1 Play from the Back,O1 Play from the Back,1st Half,O1 Goal Kick or Free Kick,Unsuccessful,Ball Loss --> D3 Press,
58,59,1,917.19942399146,939.56550411646,O2 Build Up,O2 Build Up,1st Half,O2 Throw-In,Unsuccessful,Ball Loss --> D3 Press,
59,60,1,931.9988350747935,946.1670690751268,D1 Counterpress,,1st Half,After O2 build-up,Successful,"Intercept. -> Estab. (O1, O2, O3)",
60,61,1,940.7326613661264,952.58355507446,D1 Counterpress,,1st Half,After O2 build-up,Successful,"Intercept. -> Estab. (O1, O2, O3)",
61,62,1,942.5981067414602,949.6318529917933,O2 Build Up,O2 Build Up,1st Half,O2 After Regain,Unsuccessful,Ball Loss --> D3 Press,
62,63,1,948.5997575334598,966.1678398664601,O2 Build Up,O2 Build Up,1st Half,O2 After Regain,Unsuccessful,Ball Loss --> D3 Press,
63,64,1,957.0655887417936,968.9988606584602,D1 Counterpress,,1st Half,After O2 build-up,Neutral,Establishing Pressing,
64,65,1,966.9988491577931,1000.2660349911271,D3 High Pressing,,1st Half,After Ball Loss,Neutral,Stay In Phase,
65,66,1,991.4990323247935,1006.4994493244599,D2 Finding Balance,,1st Half,D3 High Press on Opp. Half,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
66,67,1,1012.6000116581267,1065.7996032001272,D4 Defending the Box,,1st Half,Front Area,Successful,Intercepted by Defence,Corner Kick
67,68,1,1037.26652811646,1054.26652811646,def corner,,1st Half,,,,
68,69,1,1095.1024428664598,1111.8683379911265,O1 Play from the Back,O1 Play from the Back,1st Half,O1 Goal Kick or Free Kick,Unsuccessful,Ball Loss --> D3 Press,
69,70,1,1104.4339847417937,1117.40259969946,D2 Finding Balance,,1st Half,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",
70,71,1,1113.7339697001264,1124.43385836646,O1 Play from the Back,O1 Play from the Back,1st Half,O1 After Regain,Unsuccessful,Ball Loss --> D3 Press,
71,72,1,1120.4678309081266,1175.33454999146,D3 Middle / Lower Pressing,,1st Half,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",
72,73,1,1174.833689199793,1190.60044715846,O1 Play from the Back,O1 Play from the Back,1st Half,O1 After Regain,Unsuccessful,Ball Loss --> D3 Press,
73,74,1,1187.4014659914599,1205.6020382834602,D3 Middle / Lower Pressing,,1st Half,After Ball Loss,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
74,75,1,1191.60176132446,1211.5003990751263,D4 Defending the Box,,1st Half,1v1,Neutral,"Cross, Shot, Set-Piece or Box Entry",Transition
75,76,1,1203.9700564501268,1272.0019561997935,D4 Defending the Box,,1st Half,Central Area,Neutral,"Cross, Shot, Set-Piece or Box Entry",Corner Kick
76,77,1,1244.335843991127,1261.335843991127,def corner,,1st Half,,,,
77,78,1,1275.869269741793,1298.3686508251267,O1 Play from the Back,O1 Play from the Back,1st Half,O1 Goal Kick or Free Kick,Unsuccessful,Ball Loss --> D3 Press,
78,79,1,1295.2021134494598,1312.0690878251269,D3 Middle / Lower Pressing,,1st Half,After Ball Loss,Neutral,Stay In Phase,
79,80,1,1307.9020021167935,1319.3686431997937,D3 High Pressing,,1st Half,D3 From Low/Med to High,Successful,"Intercept. -> Estab. (O1, O2, O3)",
80,81,1,1311.1025082834599,1337.5354031581267,O3 Break Through,O3 Break Through,1st Half,Short Throw-In,Unsuccessful,Ball Loss --> D3 Press,Throw In
81,82,1,1334.501814532793,1342.1358994497934,D3 Middle / Lower Pressing,,1st Half,After Ball Loss,Neutral,Stay In Phase,
82,83,1,1341.9353018244599,1370.4020913244601,D3 Middle / Lower Pressing,,1st Half,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",
83,84,1,1366.70238815846,1388.6715424917934,O1 Play from the Back,O1 Play from the Back,1st Half,O1 After Regain,Unsuccessful,Ball Loss --> D3 Press,
84,85,1,1385.8638063664598,1417.1362565747932,D3 Middle / Lower Pressing,,1st Half,After Ball Loss,Successful, ,
85,86,1,1413.3693439497931,1420.669579616793,O1 Play from the Back,O1 Play from the Back,1st Half,O1 After Regain,Successful,Progress to Next Phase,
86,87,1,1416.5699832831265,1430.9340987001265,O2 Build Up,O2 Build Up,1st Half,O1 to O2,Neutral,Stay In Phase,
87,88,1,1426.9362553667936,1447.3368654914598,O1 Play from the Back,O1 Play from the Back,1st Half,O2 to O1,Successful,Progress to Next Phase,
88,89,1,1444.9719272001266,1452.90327315846,O2 Build Up,O2 Build Up,1st Half,O1 to O2,Unsuccessful,Ball Loss --> D3 Press,
89,90,1,1458.6698193244604,1473.436347700127,D3 High Pressing,,1st Half,After Ball Loss,Neutral,Stay In Phase,
90,91,1,1469.6371606997932,1479.0680502414607,D3 Middle / Lower Pressing,,1st Half,D3 From High to Med/Low,Neutral,Stay In Phase,
91,92,1,1474.8366877414594,1493.104103408127,D3 High Pressing,,1st Half,D3 From Low/Med to High,Successful,"Intercept. -> Estab. (O1, O2, O3)",
92,93,1,1489.5041113667937,1498.8709405327934,O1 Play from the Back,O1 Play from the Back,1st Half,O1 After Regain,Neutral,Stay In Phase,
93,94,1,1494.7040220327926,1511.872470991127,O2 Build Up,O2 Build Up,1st Half,O1 to O2,Neutral,Stay In Phase,
94,95,1,1508.6699424494602,1524.9058543664603,O1 Play from the Back,O1 Play from the Back,1st Half,O2 to O1,Unsuccessful,Ball Loss --> D3 Press,
95,96,1,1522.205107533127,1541.1705599077932,D3 High Pressing,,1st Half,D3 Goal Kick or Free Kick,Neutral,Stay In Phase,
96,97,1,1534.204239575127,1557.6041023251266,D4 Defending the Box,,1st Half,Chipball,Neutral,"Cross, Shot, Set-Piece or Box Entry",Established Play
97,98,1,1538.4365439081264,1548.9370723244601,D3 Middle / Lower Pressing,,1st Half,D3 From High to Med/Low,Unsuccessful,"Cross, Shot, Set-Piece or Box Entry",
98,99,1,1553.806157408127,1578.8064329497938,D3 Middle / Lower Pressing,,1st Half,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",
99,100,1,1574.5037942411263,1586.4364494917934,O1 Play from the Back,O1 Play from the Back,1st Half,O1 Goal Kick or Free Kick,Successful,Progress to Next Phase,
100,101,1,1590.405322241793,1610.8732299501269,O2 Build Up,O2 Build Up,1st Half,O2 Free Kick,Neutral,Stay In Phase,
101,102,1,1606.770996866794,1638.1067322831263,O1 Play from the Back,O1 Play from the Back,1st Half,O2 to O1,Neutral,Stay In Phase,
102,103,1,1634.43822474146,1649.1381460331268,O1 Play from the Back,O1 Play from the Back,1st Half,O1 After Regain,Neutral,Stay In Phase,
103,104,1,1644.8404347834598,1667.271539533127,O4 Finishing,O4 Finishing,1st Half,Square Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",Established Play
104,105,1,1645.10680315846,1663.9403287834602,O2 Build Up,O2 Build Up,1st Half,O1 to O2,Successful,Progress to O4,
105,106,1,1662.9713497827934,1728.1074064917932,O4 Finishing,O4 Finishing,1st Half,Front Area,Unsuccessful,Intercepted by Defence,Corner Kick
106,107,1,1704.00599315846,1721.00599315846,off corner,,1st Half,,,,
107,108,1,1728.1077904917936,1752.4723888244598,D3 High Pressing,,1st Half,D3 Goal Kick or Free Kick,Successful,Direct to O3/O4 OFF Transit,
108,109,1,1734.140793616126,1759.6395172001262,O3 Break Through,O3 Break Through,1st Half,D3 High Press on Opp. Half,Neutral,Keep The Ball,Transition
109,110,1,1755.7391442827939,1802.205613574793,O2 Build Up,O2 Build Up,1st Half,O3 to O2,Neutral,Stay In Phase,
110,111,1,1800.5392250331274,1822.6059731994599,O2 Build Up,O2 Build Up,1st Half,O2 After Regain,Successful,Progress to Next Phase,
111,112,1,1803.606380782793,1831.9411735751257,O3 Break Through,O3 Break Through,1st Half,Central Play Infront of Backline,Neutral,Keep The Ball,Established Play
112,113,1,1828.3717865744597,1882.4736771994599,O2 Build Up,O2 Build Up,1st Half,O3 to O2,Unsuccessful,Ball Loss --> D3 Press,
113,114,1,1888.1069419914602,1907.7064825327934,D3 High Pressing,,1st Half,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",
114,115,1,1902.7064825327934,1938.1758548251257,O1 Play from the Back,O1 Play from the Back,1st Half,O1 After Regain,Successful,Progress to Next Phase,
115,116,1,1934.0745229911265,1943.0403747411258,O2 Build Up,O2 Build Up,1st Half,O1 to O2,Unsuccessful,Ball Loss --> D3 Press,
116,117,1,1944.0071250331268,1965.608572157793,D3 High Pressing,,1st Half,After Ball Loss,Neutral,Stay In Phase,
117,118,1,1972.007282450127,2044.64352507446,D3 Middle / Lower Pressing,,1st Half,D3 Goal Kick or Free Kick,Neutral,Stay In Phase,
118,119,1,2039.9769122001264,2065.17698940846,O3 Break Through,O3 Break Through,1st Half,D3 High Press on Opp. Half,Successful,"Cross, Shot, Set-Piece or Box Entry",Transition
119,120,1,2040.943558783126,2058.24186236646,D3 High Pressing,,1st Half,D3 From Low/Med to High,Successful,Direct to O3/O4 OFF Transit,
120,121,1,2046.0103594501263,2068.1099902827928,O4 Finishing,O4 Finishing,1st Half,Pass Infront of Backline,Neutral,"Cross, Shot, Set-Piece or Box Entry",Transition
121,122,1,2064.274542241793,2089.073374324459,D3 High Pressing,,1st Half,After Ball Loss,Neutral,Stay In Phase,
122,123,1,2085.043914491126,2100.942015116126,D3 Middle / Lower Pressing,,1st Half,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",
123,124,1,2098.17735165846,2112.406452908126,O2 Build Up,O2 Build Up,1st Half,O2 Throw-In,Unsuccessful,Ball Loss --> D3 Press,
124,125,1,2108.5417643667924,2121.3753046577926,D3 High Pressing,,1st Half,After Ball Loss,Successful,"Intercept. -> Estab. (O1, O2, O3)",
125,126,1,2123.242221033459,2146.0110149911256,O3 Break Through,O3 Break Through,1st Half,Short Throw-In,Unsuccessful,Ball Loss --> D3 Press,Throw In
126,127,1,2150.1078223667923,2177.143043324793,D3 High Pressing,,1st Half,D3 Goal Kick or Free Kick,Successful,"Intercept. -> Estab. (O1, O2, O3)",
127,128,1,2166.3756226161263,2196.575848949793,O3 Break Through,O3 Break Through,1st Half,Wide Link Up Play,Successful,"Cross, Shot, Set-Piece or Box Entry",Established Play
128,129,1,2173.3762626167936,2185.2760314914594,O2 Build Up,O2 Build Up,1st Half,O3 to O2,Successful,Progress to Next Phase,
129,130,1,2177.774268033459,2200.2762212831267,O4 Finishing,O4 Finishing,1st Half,Square Pass,Neutral,"Cross, Shot, Set-Piece or Box Entry",Established Play
