Timeline,Start time,Duration,Row,Instance number,00. Start Phase,01. Phase,02. Situation Type,03. Outcomes,04. Rating,Half,Time Period,Ungrouped,Notes,Flags
30. FCN-RFC (3-1),20.33753274,11.39944054,O1 Play from the Back,1,O1 Play from the Back,,O1 After Regain,Progress to Next Phase,Successful,1st Half,0 - 15 min,,,
30. FCN-RFC (3-1),60.73889803,9.765407292,O1 Play from the Back,2,O1 Play from the Back,,O1 After Regain,Stay In Phase,Neutral,1st Half,0 - 15 min,,,
30. FCN-RFC (3-1),150.4379776,8.466738459,O1 Play from the Back,3,O1 Play from the Back,,O1 After Regain,Progress to Next Phase,Successful,1st Half,0 - 15 min,,,
30. FCN-RFC (3-1),489.208023,29.10006413,O1 Play from the Back,4,O1 Play from the Back,,O1 Throw-In,Progress to O3-O4,Successful,1st Half,0 - 15 min,,,
30. FCN-RFC (3-1),1064.813504,11.26750433,O1 Play from the Back,5,O1 Play from the Back,,O1 Goal Kick or Free Kick,Stay In Phase,Neutral,1st Half,16 - 30 min,,,
30. FCN-RFC (3-1),1488.250089,13.23342108,O1 Play from the Back,6,O1 Play from the Back,,O1 After Regain,Progress to Next Phase,Successful,1st Half,16 - 30 min,,,
30. FCN-RFC (3-1),1686.417356,30.50073238,O1 Play from the Back,7,O1 Play from the Back,,O2 to O1,Progress to O3-O4,Successful,1st Half,16 - 30 min,,,
30. FCN-RFC (3-1),1910.820198,19.93532204,O1 Play from the Back,8,O1 Play from the Back,,O1 Throw-In,Progress to Next Phase,Successful,1st Half,31 - 45 min,,,
30. FCN-RFC (3-1),1973.521235,9.234835501,O1 Play from the Back,9,O1 Play from the Back,,O1 After Regain,Stay In Phase,Neutral,1st Half,31 - 45 min,,,
30. FCN-RFC (3-1),2075.953961,12.76975067,O1 Play from the Back,10,O1 Play from the Back,,O1 Goal Kick or Free Kick,Progress to Next Phase,Successful,1st Half,31 - 45 min,,,
30. FCN-RFC (3-1),2229.558214,18.59816942,O1 Play from the Back,11,O1 Play from the Back,,O1 Throw-In,Progress to Next Phase,Successful,1st Half,31 - 45 min,,,
30. FCN-RFC (3-1),2682.195332,26.66642754,O1 Play from the Back,12,O1 Play from the Back,,O2 to O1,Progress to Next Phase,Successful,1st Half,31 - 45 min,,,
30. FCN-RFC (3-1),2847.896153,18.46494183,O1 Play from the Back,13,O1 Play from the Back,,O1 Throw-In,Progress to O3-O4,Successful,1st Half,31 - 45 min,,,
30. FCN-RFC (3-1),2898.797146,26.19903167,O1 Play from the Back,14,O1 Play from the Back,,O1 After Regain,Progress to O3-O4,Successful,1st Half,31 - 45 min,,,
30. FCN-RFC (3-1),3383.002862,25.96593946,O1 Play from the Back,15,O1 Play from the Back,,O1 After Regain,Stay In Phase,Neutral,,46 - 60 min,,,
