,code_id,period_id,timestamp,end_timestamp,code,Half,00. Start Phase,02. Situation Type,03. Outcomes,04. Rating,01. Phase
0,1,1,0.0,2824.7007494846694,KO,1st Half,,,,,
1,2,1,0.9890888864479592,10.23578112945058,O2 Build Up,1st Half,O2 Build Up,O2 Free Kick,Ball Loss --> D3 Press,Unsuccessful,
2,3,1,1.0693877961174607,14.335619129783801,D1 Counterpress,1st Half,,After O2 build-up,"Intercept. -> Estab. (O1, O2, O3)",Successful,
3,4,1,10.369489754117502,25.167834921117326,O2 Build Up,1st Half,O2 Build Up,O2 After Regain,Ball Loss --> D3 Press,Unsuccessful,
4,5,1,24.401131129784325,31.90428487978378,D3 High Pressing,1st Half,,After Ball Loss,"Intercept. -> Estab. (O1, O2, O3)",Successful,
5,6,1,31.268832129450537,72.20451725411749,O2 Build Up,1st Half,O2 Build Up,O2 Throw-In,Stay In Phase,Neutral,
6,7,1,68.03703254611705,84.60233721278362,O1 Play from the Back,1st Half,O1 Play from the Back,O2 to O1,Progress to Next Phase,Successful,
7,8,1,80.30041271311708,102.8036519624506,O2 Build Up,1st Half,O2 Build Up,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,
8,9,1,94.27076729578403,111.37137208778367,D1 Counterpress,1st Half,,After O2 build-up,Establishing Pressing,Neutral,
9,10,1,102.26945821311719,116.96841937945092,D2 Finding Balance,1st Half,,Transition After CP,Establishing Pressing,Neutral,
10,11,1,115.7015192131175,145.9385120047842,D4 Defending the Box,1st Half,,Short Throw-In,Chance,Unsuccessful,Throw In
11,12,1,132.60321379645066,149.60321379645066,def throw,1st Half,,Short Throw-In,Chance,Unsuccessful,
12,13,1,133.6707187961173,156.6707187961173,Offside review,1st Half,O1 Play from the Back,O1 After Regain,Progress to Next Phase,Successful,
13,14,1,148.43655696245074,156.26914683745062,O1 Play from the Back,1st Half,O1 Play from the Back,O1 After Regain,,,
14,15,1,152.0379756707837,195.92893521311746,O2 Build Up,1st Half,O2 Build Up,O1 to O2,Ball Loss --> D3 Press,Unsuccessful,
15,16,1,206.83706725411716,228.03927529611744,D3 Middle / Lower Pressing,1st Half,,D3 Press on Throw-In,Stay In Phase,Neutral,
16,17,1,219.93946817111745,266.20377658745076,D4 Defending the Box,1st Half,,Long Throw,OFF Transition,Successful,Throw In
17,18,1,244.26998221278402,261.26998221278404,def throw,1st Half,,,,,
18,19,1,246.96981975478403,283.23975696278376,O3 Break Through,1st Half,O3 Break Through,Quick Restart,"Cross, Shot, Set-Piece or Box Entry",Successful,Transition
19,20,1,264.00309817111724,287.03809425411725,O4 Finishing,1st Half,O4 Finishing,Pass Infront of Backline,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play
20,21,1,275.17095392145046,325.53869771311724,O4 Finishing,1st Half,O4 Finishing,Front Area,"Cross, Shot, Set-Piece or Box Entry",Neutral,Corner Kick
21,22,1,305.3715497961173,322.3715497961173,off corner,1st Half,,,,,
22,23,1,318.5041241294508,341.70429121278437,O3 Break Through,1st Half,O3 Break Through,Long Throw,Ball Loss --> D3 Press,Unsuccessful,Throw In
23,24,1,333.3709650044507,345.30666112945084,D1 Counterpress,1st Half,,After O3/O4,"Intercept. -> Estab. (O1, O2, O3)",Successful,
24,25,1,340.94031283745085,354.003428170784,O2 Build Up,1st Half,O2 Build Up,O2 After Regain,Ball Loss --> D3 Press,Unsuccessful,
25,26,1,345.43784392078436,369.40451529611727,D2 Finding Balance,1st Half,,After Ball Loss,Establishing Pressing,Neutral,
26,27,1,362.1736557544506,382.10664800411746,D4 Defending the Box,1st Half,,Through Pass,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play
27,28,1,363.1732160457838,390.2393300874506,O3 Break Through,1st Half,O3 Break Through,After D4 Def. Box,Keep The Ball,Neutral,Transition
28,29,1,365.37231971245063,377.262068670784,D3 Middle / Lower Pressing,1st Half,,After Ball Loss,"Cross, Shot, Set-Piece or Box Entry",Unsuccessful,
29,30,1,385.8728310877838,433.7066099627841,O2 Build Up,1st Half,O2 Build Up,O3 to O2,Stay In Phase,Neutral,
30,31,1,430.6717601711175,467.87157246278383,O2 Build Up,1st Half,O2 Build Up,O2 Throw-In,Ball Loss --> D3 Press,Unsuccessful,
31,32,1,458.7055716711174,470.2409230881174,D1 Counterpress,1st Half,,After O2 build-up,"Intercept. -> Estab. (O1, O2, O3)",Successful,
32,33,1,465.80644446311675,505.0416400464506,O2 Build Up,1st Half,O2 Build Up,O2 After Regain,Progress to Next Phase,Successful,
33,34,1,485.8066632544507,508.3075874207838,O3 Break Through,1st Half,O3 Break Through,1v1 Wide / Halfspace,"Cross, Shot, Set-Piece or Box Entry",Successful,Established Play
34,35,1,489.00602754645075,511.3719402131174,O4 Finishing,1st Half,O4 Finishing,1v1,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play
35,36,1,505.87285575445077,550.0415885881175,O4 Finishing,1st Half,O4 Finishing,Short Variation,DEF Transition,Unsuccessful,Corner Kick
36,37,1,531.2046565881172,548.2046565881172,off corner,1st Half,,,,,
37,38,1,544.2019222541169,559.7063168377839,D2 Finding Balance,1st Half,,After Offensive Set-Piece,Establishing Pressing,Neutral,
38,39,1,555.6073266294505,592.1090233791174,D3 Middle / Lower Pressing,1st Half,,After Ball Loss,"Cross, Shot, Set-Piece or Box Entry",Unsuccessful,
39,40,1,576.742465962451,598.1089898797837,D4 Defending the Box,1st Half,,Chipball,Intercepted by Defence,Successful,Established Play
40,41,1,597.2757114631177,614.2735560041167,O1 Play from the Back,1st Half,O1 Play from the Back,O1 Goal Kick or Free Kick,Stay In Phase,Neutral,
41,42,1,610.1092853791174,628.7069670041166,O2 Build Up,1st Half,O2 Build Up,O1 to O2,Stay In Phase,Neutral,
42,43,1,624.4069598374506,670.2404497547841,O1 Play from the Back,1st Half,O1 Play from the Back,O2 to O1,Ball Loss --> D3 Press,Unsuccessful,
43,44,1,668.7752926707832,688.0430434631169,D3 High Pressing,1st Half,,After Ball Loss,"Intercept. -> Estab. (O1, O2, O3)",Successful,
44,45,1,683.70735100445,704.2743957541169,O2 Build Up,1st Half,O2 Build Up,O2 After Regain,Progress to O4,Successful,
45,46,1,686.0099529624505,713.1743855041177,O4 Finishing,1st Half,O4 Finishing,Pass Infront of Backline,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play
46,47,1,709.8407454624509,731.0708575877846,D3 High Pressing,1st Half,,D3 Goal Kick or Free Kick,Stay In Phase,Neutral,
47,48,1,722.1101326294504,734.4070668381174,D2 Finding Balance,1st Half,,D3 High Press on Opp. Half,Establishing Pressing,Neutral,
48,49,1,728.9074620464503,750.4423812961168,D4 Defending the Box,1st Half,,Chipball,"Cross, Shot, Set-Piece or Box Entry",Neutral,Established Play
49,50,1,730.2423992541171,744.2084188381174,D3 Middle / Lower Pressing,1st Half,,D3 From High to Med/Low,"Cross, Shot, Set-Piece or Box Entry",Unsuccessful,
50,51,1,748.7744873797835,794.0750392127832,D4 Defending the Box,1st Half,,,OFF Transition,Successful,Corner Kick
51,52,1,775.6071028797845,803.5090975047837,O3 Break Through,1st Half,O3 Break Through,After D4 Def. Box,Lead to O4 chance,Successful,Transition
52,53,1,776.3417001714507,793.3417001714507,def corner,1st Half,,,,,
53,54,1,784.3429349207843,809.4088704627833,O4 Finishing,1st Half,O4 Finishing,Square Pass,Chance,Successful,Transition
54,55,1,835.8096759624503,860.2421508377842,O3 Break Through,1st Half,O3 Break Through,D3 High Press on Opp. Half,Ball Loss --> D3 Press,Unsuccessful,Transition
55,56,1,837.4104892964507,855.0443407127838,D3 High Pressing,1st Half,,D3 Goal Kick or Free Kick,Direct to O3/O4 OFF Transit,Successful,
56,57,1,862.9446136707836,883.1114507961177,D3 High Pressing,1st Half,,D3 Goal Kick or Free Kick,"Intercept. -> Estab. (O1, O2, O3)",Successful,
57,58,1,885.2448295461177,927.8782850047832,O2 Build Up,1st Half,O2 Build Up,O2 Free Kick,Stay In Phase,Neutral,
58,59,1,918.9437098377841,950.8758241291167,O3 Break Through,1st Half,O3 Break Through,Early Through Pass or Cross,"Cross, Shot, Set-Piece or Box Entry",Successful,Established Play
59,60,1,923.6445430881175,933.6447200041174,O1 Play from the Back,1st Half,O1 Play from the Back,O2 to O1,Progress to Next Phase,Successful,
60,61,1,929.4109043794504,938.3113110464508,O2 Build Up,1st Half,O2 Build Up,O1 to O2,Progress to Next Phase,Successful,
